ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,Dorsal_Significant,Ventral_Significant,Significant_Both,Significant_Dorsal_Only,Significant_Ventral_Only,Significant_Neither
1,7Networks_LH_Vis_1,0.09625673294067383,0.06584884226322174,True,True,True,False,False,False
2,7Networks_LH_Vis_2,0.0893997848033905,0.0942978635430336,True,True,True,False,False,False
3,7Networks_LH_Vis_3,0.02595345862209797,0.0840526670217514,True,True,True,False,False,False
4,7Networks_LH_Vis_4,0.11313292384147644,-0.0,True,False,False,True,False,False
5,7Networks_LH_Vis_5,0.0,0.09951761364936829,False,True,False,False,True,False
6,7Networks_LH_Vis_6,0.08059697598218918,0.0,True,False,False,True,False,False
7,7Networks_LH_Vis_7,0.07609390467405319,-0.010444914922118187,True,False,False,True,False,False
8,7Networks_LH_Vis_8,0.10685043781995773,0.07732556015253067,True,True,True,False,False,False
9,7Networks_LH_Vis_9,0.031035790219902992,0.10414120554924011,True,True,True,False,False,False
10,7Networks_LH_Vis_10,0.12776093184947968,-0.0,True,False,False,True,False,False
11,7Networks_LH_Vis_11,0.09658655524253845,0.11623045057058334,True,True,True,False,False,False
12,7Networks_LH_Vis_12,0.1286478042602539,-0.0,True,False,False,True,False,False
13,7Networks_LH_Vis_13,0.15425966680049896,-0.0,True,False,False,True,False,False
14,7Networks_LH_Vis_14,0.1518336534500122,-0.06276270747184753,True,False,False,True,False,False
15,7Networks_LH_SomMot_1,0.0,0.0,False,False,False,False,False,True
16,7Networks_LH_SomMot_2,0.0,0.0,False,False,False,False,False,True
17,7Networks_LH_SomMot_3,0.0,0.0,False,False,False,False,False,True
18,7Networks_LH_SomMot_4,0.0,0.0,False,False,False,False,False,True
19,7Networks_LH_SomMot_5,0.05915825814008713,0.0,True,False,False,True,False,False
20,7Networks_LH_SomMot_6,0.0,0.04342833161354065,False,True,False,False,True,False
21,7Networks_LH_SomMot_7,0.059185437858104706,0.05955945700407028,True,True,True,False,False,False
22,7Networks_LH_SomMot_8,0.05253596603870392,0.04546987637877464,True,True,True,False,False,False
23,7Networks_LH_SomMot_9,0.06440284848213196,0.05729060620069504,True,True,True,False,False,False
24,7Networks_LH_SomMot_10,0.061999425292015076,0.05914632976055145,True,True,True,False,False,False
25,7Networks_LH_SomMot_11,0.11117324233055115,0.06581857800483704,True,True,True,False,False,False
26,7Networks_LH_SomMot_12,0.06619931757450104,0.056281011551618576,True,True,True,False,False,False
27,7Networks_LH_SomMot_13,0.08291584998369217,0.03875444829463959,True,True,True,False,False,False
28,7Networks_LH_SomMot_14,0.05686036869883537,0.0,True,False,False,True,False,False
29,7Networks_LH_SomMot_15,0.07393179088830948,0.0,True,False,False,True,False,False
30,7Networks_LH_SomMot_16,0.06976672261953354,0.0,True,False,False,True,False,False
31,7Networks_LH_DorsAttn_Post_1,0.046318989247083664,0.1111338809132576,True,True,True,False,False,False
32,7Networks_LH_DorsAttn_Post_2,0.07424823939800262,0.05584925413131714,True,True,True,False,False,False
33,7Networks_LH_DorsAttn_Post_3,0.1256299912929535,0.11164011061191559,True,True,True,False,False,False
34,7Networks_LH_DorsAttn_Post_4,0.06107666715979576,0.05054725706577301,True,True,True,False,False,False
35,7Networks_LH_DorsAttn_Post_5,0.07869097590446472,0.08427703380584717,True,True,True,False,False,False
36,7Networks_LH_DorsAttn_Post_6,0.08983810245990753,0.09333835542201996,True,True,True,False,False,False
37,7Networks_LH_DorsAttn_Post_7,0.07940277457237244,0.0,True,False,False,True,False,False
38,7Networks_LH_DorsAttn_Post_8,0.10316529870033264,0.09432496130466461,True,True,True,False,False,False
39,7Networks_LH_DorsAttn_Post_9,0.12190548330545425,0.0,True,False,False,True,False,False
40,7Networks_LH_DorsAttn_Post_10,0.11161177605390549,0.024194130674004555,True,True,True,False,False,False
41,7Networks_LH_DorsAttn_FEF_1,0.06818046420812607,0.05834227055311203,True,True,True,False,False,False
42,7Networks_LH_DorsAttn_FEF_2,0.07727909088134766,0.021381914615631104,True,True,True,False,False,False
