ROI_ID,ROI_Name,pIPS_clean_Connectivity,LO_clean_Connectivity,Difference,Abs_Difference
1,7Networks_LH_Vis_1,0.09625673,0.06584884,0.03040789,0.03040789
2,7Networks_LH_Vis_2,0.089399785,0.09429786,-0.0048980787,0.0048980787
3,7Networks_LH_Vis_3,0.025953459,0.08405267,-0.05809921,0.05809921
4,7Networks_LH_Vis_4,0.113132924,-0.026347907,0.13948083,0.13948083
5,7Networks_LH_Vis_5,0.004728238,0.09951761,-0.09478938,0.09478938
6,7Networks_LH_Vis_6,0.080596976,0.008366246,0.07223073,0.07223073
7,7Networks_LH_Vis_7,0.076093905,-0.010444915,0.08653882,0.08653882
8,7Networks_LH_Vis_8,0.10685044,0.07732556,0.029524878,0.029524878
9,7Networks_LH_Vis_9,0.03103579,0.104141206,-0.07310542,0.07310542
10,7Networks_LH_Vis_10,0.12776093,-0.02124209,0.14900303,0.14900303
11,7Networks_LH_Vis_11,0.096586555,0.11623045,-0.019643895,0.019643895
12,7Networks_LH_Vis_12,0.1286478,-0.0089664,0.1376142,0.1376142
13,7Networks_LH_Vis_13,0.15425967,-0.07511857,0.22937824,0.22937824
14,7Networks_LH_Vis_14,0.15183365,-0.06276271,0.21459636,0.21459636
15,7Networks_LH_SomMot_1,0.04051413,0.022689031,0.017825099,0.017825099
16,7Networks_LH_SomMot_2,0.056400552,0.029281855,0.027118698,0.027118698
17,7Networks_LH_SomMot_3,0.048210014,0.02123001,0.026980003,0.026980003
18,7Networks_LH_SomMot_4,0.05594435,0.02088871,0.035055637,0.035055637
19,7Networks_LH_SomMot_5,0.05915826,0.018993832,0.040164426,0.040164426
20,7Networks_LH_SomMot_6,0.051290166,0.04342833,0.007861834,0.007861834
21,7Networks_LH_SomMot_7,0.059185438,0.059559457,-0.00037401915,0.00037401915
22,7Networks_LH_SomMot_8,0.052535966,0.045469876,0.0070660897,0.0070660897
23,7Networks_LH_SomMot_9,0.06440285,0.057290606,0.0071122423,0.0071122423
24,7Networks_LH_SomMot_10,0.061999425,0.05914633,0.0028530955,0.0028530955
25,7Networks_LH_SomMot_11,0.11117324,0.06581858,0.045354664,0.045354664
26,7Networks_LH_SomMot_12,0.06619932,0.05628101,0.009918306,0.009918306
27,7Networks_LH_SomMot_13,0.08291585,0.03875445,0.0441614,0.0441614
28,7Networks_LH_SomMot_14,0.05686037,0.035220202,0.021640167,0.021640167
29,7Networks_LH_SomMot_15,0.07393179,0.037269644,0.036662146,0.036662146
30,7Networks_LH_SomMot_16,0.06976672,0.042095777,0.027670946,0.027670946
31,7Networks_LH_DorsAttn_Post_1,0.04631899,0.11113388,-0.064814895,0.064814895
32,7Networks_LH_DorsAttn_Post_2,0.07424824,0.055849254,0.018398985,0.018398985
33,7Networks_LH_DorsAttn_Post_3,0.12562999,0.11164011,0.013989881,0.013989881
34,7Networks_LH_DorsAttn_Post_4,0.061076667,0.050547257,0.01052941,0.01052941
35,7Networks_LH_DorsAttn_Post_5,0.078690976,0.084277034,-0.005586058,0.005586058
36,7Networks_LH_DorsAttn_Post_6,0.0898381,0.093338355,-0.003500253,0.003500253
37,7Networks_LH_DorsAttn_Post_7,0.079402775,0.025996422,0.05340635,0.05340635
38,7Networks_LH_DorsAttn_Post_8,0.1031653,0.09432496,0.008840337,0.008840337
39,7Networks_LH_DorsAttn_Post_9,0.12190548,0.007656922,0.11424856,0.11424856
40,7Networks_LH_DorsAttn_Post_10,0.111611776,0.02419413,0.08741765,0.08741765
41,7Networks_LH_DorsAttn_FEF_1,0.068180464,0.05834227,0.009838194,0.009838194
42,7Networks_LH_DorsAttn_FEF_2,0.07727909,0.021381915,0.055897176,0.055897176
43,7Networks_LH_DorsAttn_PrCv_1,0.045088872,0.057586715,-0.012497842,0.012497842
44,7Networks_LH_SalVentAttn_ParOper_1,0.056531206,0.03445141,0.022079796,0.022079796
45,7Networks_LH_SalVentAttn_ParOper_2,0.060925286,0.015347875,0.04557741,0.04557741
46,7Networks_LH_SalVentAttn_ParOper_3,0.050159987,0.024490051,0.025669936,0.025669936
47,7Networks_LH_SalVentAttn_FrOperIns_1,0.03347669,0.015203749,0.018272944,0.018272944
