subject,roi,hemisphere,x,y,z,mean_activation
sub-025,pIPS,left,-19.34424934722483,-58.18833639472723,37.66978480108082,2.2078698
sub-025,pIPS,right,43.714578771963716,-52.498105611652136,19.00978780630976,2.2164617
sub-025,LO,left,-35.31151826120913,-47.44837876409292,6.706920282915235,1.7246307
sub-025,LO,right,39.86771406978369,-51.45941890403628,-0.6402177913114429,1.9226453
sub-038,pIPS,left,-23.59863380342722,-57.70860281214118,43.771913915872574,1.6773858
sub-038,pIPS,right,30.75842608511448,-59.592775631695986,42.109152153134346,0.6570757
sub-038,LO,left,-46.9711968973279,-47.451946426182985,-3.0097638368606567,2.58156
sub-038,LO,right,46.912985771894455,-44.93508784100413,1.5113359242677689,2.7232873
sub-057,pIPS,left,-24.312653727829456,-52.578844882547855,35.62245832756162,2.6539166
sub-057,pIPS,right,25.31460192427039,-46.89510455727577,43.22766825556755,1.368368
sub-057,LO,left,-47.572814989835024,-42.96910888701677,-12.539971437305212,3.2243578
sub-057,LO,right,39.87820973992348,-36.242509834468365,2.2957239039242268,3.587934
sub-059,pIPS,left,-18.162124440073967,-64.75650223717093,18.267705969512463,1.4162885
sub-059,pIPS,right,41.61890911310911,-57.49046229571104,3.6231085807085037,1.559816
sub-059,LO,left,-26.4312087520957,-58.14581426605582,-14.119357697665691,1.9463289
sub-059,LO,right,42.56577256694436,-46.57365567237139,-19.462097734212875,1.6971241
sub-064,pIPS,left,-39.679415967315435,-65.10758714005351,13.812714003026485,0.7884917
sub-064,pIPS,right,43.516430139541626,-53.14088233932853,21.885396979749203,0.40093088
sub-064,LO,left,-37.350249998271465,-44.40171155706048,-11.403185985982418,1.690567
sub-064,LO,right,38.724584858864546,-37.54838939011097,3.313588470220566,0.9909197
sub-067,pIPS,left,-28.213686287403107,-57.7404647115618,19.85893388092518,1.0910344
sub-067,pIPS,right,27.927444100379944,-50.802583584561944,19.780392959713936,0.5719711
sub-067,LO,left,-46.438043013215065,-50.099598187953234,-7.334560960531235,1.4670315
sub-067,LO,right,49.561494775116444,-48.56631185486913,-4.570423811674118,1.1633908
sub-068,pIPS,left,-23.548763149650767,-62.08262551296502,32.86292087286711,1.0672156
sub-068,pIPS,right,26.581670796964318,-60.7757784826681,34.355292193591595,0.590212
sub-068,LO,left,-39.48449306259863,-39.65715454053134,-12.997198097407818,1.4845196
sub-068,LO,right,34.538722577737644,-55.61637564841658,-11.634552367031574,1.2498914
sub-071,pIPS,left,-5.257735770195723,-69.80685418844223,22.48140397667885,0.8318196
sub-071,pIPS,right,11.15887676179409,-62.47768082469702,33.05390025675297,0.85418403
sub-071,LO,left,-40.59544522315264,-46.72993103414774,3.2798334509134293,-0.08809898
sub-071,LO,right,59.50409906357527,-25.973368495702744,10.711753219366074,0.82755554
sub-083,pIPS,left,-19.981428704690188,-39.769435765221715,45.39925326243974,1.7404729
sub-083,pIPS,right,25.930383130908012,-55.92054625414312,40.474738486809656,1.8636936
sub-083,LO,left,-44.15172020974569,-47.6020634341985,7.183445777976885,4.1267653
sub-083,LO,right,46.87579770642333,-41.685890052467585,7.11810537846759,3.277345
sub-084,pIPS,left,-28.839474350214005,-44.34535653889179,72.8838584497571,0.9252819
sub-084,pIPS,right,48.394227258861065,-42.68900565803051,48.94238620251417,1.3091239
sub-084,LO,left,-46.73695743456483,-26.567522458732128,36.092180233448744,1.1839569
sub-084,LO,right,46.69354313239455,-51.29384710639715,28.325297977775335,0.8746796
sub-085,pIPS,left,-23.62005991116166,-67.21537556499243,-2.3545760419219732,0.9314373
sub-085,pIPS,right,38.007753912359476,-56.89485944621265,24.505816215649247,1.1995593
sub-085,LO,left,-52.665200777351856,-45.27242590487003,-13.838599625974894,3.2786803
sub-085,LO,right,42.51180060207844,-24.573819875717163,-23.265133656561375,2.2939239
sub-087,pIPS,left,-38.09302964434028,-46.094600047916174,17.90703195333481,1.2022215
sub-087,pIPS,right,32.34241923131049,-48.04124648682773,17.656133145093918,1.1299776
sub-087,LO,left,-35.105321157723665,-39.14332429971546,-2.384675219655037,1.6404473
sub-087,LO,right,31.246728977188468,-44.34587375074625,8.214539527893066,1.8117355
sub-088,pIPS,left,-29.07940784469247,-57.76191007718444,25.342454567551613,2.678427
sub-088,pIPS,right,41.38237241283059,-58.06711216457188,14.755814328789711,2.0694666
sub-088,LO,left,-34.13088757544756,-36.44852097146213,0.45828214287757874,1.7331223
sub-088,LO,right,40.99467487260699,-38.674112098291516,13.883333295583725,2.602247
