subject,roi,hemisphere,task,analysis,mean_activation
sub-025,pIPS,left,loc,fc,0.1368403136730194
sub-025,pIPS,right,loc,fc,0.3203035295009613
sub-025,LO,left,loc,fc,0.30297040939331055
sub-025,LO,right,loc,fc,0.31082165241241455
sub-025,pIPS,left,loc,ppi,0.03520415819153402
sub-025,pIPS,right,loc,ppi,0.03580119916109474
sub-025,LO,left,loc,ppi,0.03097995868564025
sub-025,LO,right,loc,ppi,0.025616630841639964
sub-038,pIPS,left,loc,fc,0.2703578472137451
sub-038,pIPS,right,loc,fc,0.15021592378616333
sub-038,LO,left,loc,fc,0.3192141354084015
sub-038,LO,right,loc,fc,0.4092215895652771
sub-038,pIPS,left,loc,ppi,0.04642846907681882
sub-038,pIPS,right,loc,ppi,0.0033797321067750236
sub-038,LO,left,loc,ppi,0.09991388465330912
sub-038,LO,right,loc,ppi,0.06485533288476625
sub-057,pIPS,left,loc,fc,0.4773174822330475
sub-057,pIPS,right,loc,fc,0.3544948399066925
sub-057,LO,left,loc,fc,0.5091034770011902
sub-057,LO,right,loc,fc,0.43101415038108826
sub-057,pIPS,left,loc,ppi,0.06424720098662388
sub-057,pIPS,right,loc,ppi,-0.008143420290659547
sub-057,LO,left,loc,ppi,0.09284962365781406
sub-057,LO,right,loc,ppi,0.06559026558195964
sub-059,pIPS,left,loc,fc,0.424044132232666
sub-059,pIPS,right,loc,fc,0.2745094299316406
sub-059,LO,left,loc,fc,0.3047022223472595
sub-059,LO,right,loc,fc,0.2558788061141968
sub-059,pIPS,left,loc,ppi,-0.000993952940045011
sub-059,pIPS,right,loc,ppi,0.05956194534373524
sub-059,LO,left,loc,ppi,0.062306713999651514
sub-059,LO,right,loc,ppi,0.03514460390778835
sub-064,pIPS,left,loc,fc,0.2014440894126892
sub-064,pIPS,right,loc,fc,0.11255419254302979
sub-064,LO,left,loc,fc,0.3445712924003601
sub-064,LO,right,loc,fc,0.2592160701751709
sub-064,pIPS,left,loc,ppi,-0.006782596612532874
sub-064,pIPS,right,loc,ppi,-0.015502082779511065
sub-064,LO,left,loc,ppi,0.048118531062744045
sub-064,LO,right,loc,ppi,0.028567614903936663
sub-067,pIPS,left,loc,fc,0.5633533000946045
sub-067,pIPS,right,loc,fc,0.4515247941017151
sub-067,LO,left,loc,fc,0.4123342037200928
sub-067,LO,right,loc,fc,0.4143218398094177
sub-067,pIPS,left,loc,ppi,-0.0542890233410205
sub-067,pIPS,right,loc,ppi,0.02329566406339604
sub-067,LO,left,loc,ppi,0.07292149719642423
sub-067,LO,right,loc,ppi,0.04072916847961171
sub-068,pIPS,left,loc,fc,0.11397809535264969
sub-068,pIPS,right,loc,fc,0.25806528329849243
sub-068,LO,left,loc,fc,0.2643159329891205
sub-068,LO,right,loc,fc,0.31395649909973145
sub-068,pIPS,left,loc,ppi,-0.00532535575173703
sub-068,pIPS,right,loc,ppi,0.0023534366335575276
sub-068,LO,left,loc,ppi,0.04687811808004889
sub-068,LO,right,loc,ppi,0.04407712370858873
sub-071,pIPS,left,loc,fc,0.19277244806289673
sub-071,pIPS,right,loc,fc,0.25937795639038086
sub-071,LO,left,loc,fc,0.26550719141960144
sub-071,LO,right,loc,fc,0.31482550501823425
sub-071,pIPS,left,loc,ppi,-0.003014901299413878
sub-071,pIPS,right,loc,ppi,-0.03224356232597742
sub-071,LO,left,loc,ppi,-0.0033432268104412245
sub-071,LO,right,loc,ppi,-0.0362405122802892
sub-083,pIPS,left,loc,fc,0.22585232555866241
sub-083,pIPS,right,loc,fc,0.294559121131897
sub-083,LO,left,loc,fc,0.5089362859725952
sub-083,LO,right,loc,fc,0.43964964151382446
sub-083,pIPS,left,loc,ppi,0.029670717519934407
sub-083,pIPS,right,loc,ppi,0.024690510047864066
sub-083,LO,left,loc,ppi,0.15911936343197694
sub-083,LO,right,loc,ppi,0.11188138363847529
sub-084,pIPS,left,loc,fc,0.2097848653793335
sub-084,pIPS,right,loc,fc,0.2429227977991104
sub-084,LO,left,loc,fc,0.1916772425174713
sub-084,LO,right,loc,fc,0.2141641080379486
sub-084,pIPS,left,loc,ppi,-0.004677805495586589
sub-084,pIPS,right,loc,ppi,-0.053070815103230605
