left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,left_V1,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS,right_V1
53646.055555555555,73504.11111111111,15452.333333333334,10490.833333333334,29397.194444444445,30795.833333333332,25694.194444444445,49461.083333333336,72163.77777777778,15537.75,7128.222222222223,25423.555555555555,32874.27777777778,25921.777777777777
51045.444444444445,71586.97222222222,16022.305555555555,10422.527777777777,29523.055555555555,30878.972222222223,24352.472222222223,49602.166666666664,70619.52777777778,15969.666666666666,7261.916666666667,26521.63888888889,33043.444444444445,25808.63888888889
51343.444444444445,73103.38888888889,16017.888888888889,10638.833333333334,29456.277777777777,30658.0,24203.444444444445,50955.583333333336,69984.0,15993.472222222223,7121.472222222223,25576.61111111111,33088.083333333336,25340.277777777777
50546.666666666664,73926.63888888889,16195.277777777777,10570.305555555555,29046.666666666668,30596.027777777777,23749.36111111111,50732.083333333336,71058.88888888889,15905.083333333334,7064.805555555556,26232.527777777777,32951.666666666664,25939.722222222223
51105.11111111111,73728.38888888889,15710.138888888889,10437.083333333334,29354.444444444445,30759.25,25015.944444444445,51365.02777777778,70842.36111111111,15583.222222222223,7242.25,26125.666666666668,32759.36111111111,25319.777777777777
53368.583333333336,72839.33333333333,15595.666666666666,10505.166666666666,29857.666666666668,31212.527777777777,24272.444444444445,50796.305555555555,70560.27777777778,15782.722222222223,7086.388888888889,25417.527777777777,32966.27777777778,26342.055555555555
51615.0,72655.25,15087.472222222223,10513.444444444445,30050.944444444445,31195.666666666668,24539.36111111111,50143.22222222222,71865.91666666667,15774.194444444445,7299.861111111111,26123.972222222223,33004.97222222222,25635.36111111111
51668.805555555555,74949.58333333333,15599.388888888889,10719.027777777777,29572.25,31312.527777777777,24066.055555555555,50154.02777777778,71271.69444444444,16263.805555555555,7325.75,26261.555555555555,32381.555555555555,25759.86111111111
51935.47222222222,73752.69444444444,15569.361111111111,10498.583333333334,29341.666666666668,29737.972222222223,24129.36111111111,50647.47222222222,70200.83333333333,16060.361111111111,7217.083333333333,26469.38888888889,32872.916666666664,25867.527777777777
52605.72222222222,73805.86111111111,15835.555555555555,10542.805555555555,29746.944444444445,30821.055555555555,24984.055555555555,49353.88888888889,71088.25,15558.777777777777,7111.583333333333,26292.25,33011.055555555555,26583.916666666668
53618.02777777778,74317.22222222222,16053.083333333334,10578.666666666666,29514.86111111111,30159.333333333332,24953.277777777777,49741.61111111111,71357.0,15734.722222222223,7375.0,26298.86111111111,32759.75,25947.083333333332
52581.86111111111,73897.94444444444,15737.0,10407.305555555555,30207.5,31049.777777777777,24682.333333333332,50650.916666666664,69888.13888888889,15867.916666666666,7219.333333333333,25759.972222222223,32550.13888888889,25382.36111111111
50640.194444444445,73062.44444444444,15796.305555555555,10558.388888888889,28345.222222222223,30582.416666666668,24721.36111111111,49986.083333333336,69640.47222222222,15620.472222222223,7348.638888888889,26472.666666666668,33641.63888888889,25061.666666666668
51403.416666666664,72602.33333333333,15840.0,10504.5,28788.88888888889,30523.972222222223,24844.972222222223,49747.416666666664,71186.75,15771.25,7099.111111111111,26438.11111111111,32578.0,26160.75
51967.555555555555,73424.33333333333,15719.444444444445,10792.555555555555,29309.5,30538.527777777777,24949.222222222223,51360.194444444445,72059.91666666667,16128.277777777777,7280.555555555556,25988.083333333332,32459.805555555555,25744.75
52246.305555555555,74143.36111111111,16139.222222222223,10722.166666666666,29361.916666666668,30214.38888888889,24668.166666666668,50053.916666666664,69971.27777777778,15732.916666666666,7096.777777777777,26384.11111111111,31983.36111111111,26348.972222222223
51901.38888888889,72477.83333333333,15907.444444444445,10563.888888888889,30156.38888888889,30535.11111111111,24657.527777777777,51405.666666666664,72030.94444444444,16040.166666666666,7218.944444444444,25867.305555555555,33017.97222222222,24693.416666666668
51225.833333333336,74036.58333333333,15592.111111111111,10404.888888888889,29779.63888888889,30445.083333333332,25484.36111111111,51468.77777777778,71422.44444444444,15877.138888888889,7210.777777777777,26564.88888888889,33420.61111111111,25499.916666666668
51456.11111111111,74760.16666666667,16083.138888888889,10369.944444444445,29652.472222222223,30279.86111111111,24891.5,50098.47222222222,69903.41666666667,15780.888888888889,7272.527777777777,26250.25,33009.5,25796.833333333332
51598.63888888889,72059.83333333333,15634.666666666666,10676.944444444445,29175.25,30764.13888888889,24326.166666666668,50409.194444444445,72044.44444444444,16168.638888888889,7226.833333333333,26366.027777777777,32507.805555555555,25479.194444444445
51881.694444444445,73125.19444444444,15980.416666666666,10835.527777777777,29616.944444444445,30654.166666666668,25197.63888888889,50238.72222222222,71321.61111111111,15522.138888888889,7285.222222222223,26032.805555555555,32923.416666666664,25156.305555555555
51769.416666666664,73079.75,15956.916666666666,10803.388888888889,28812.944444444445,29886.0,24935.11111111111,50121.0,70505.63888888889,15705.111111111111,7124.638888888889,25916.11111111111,32604.333333333332,25155.777777777777
51149.166666666664,73503.91666666667,16184.944444444445,10683.388888888889,29730.916666666668,31215.36111111111,25463.86111111111,50964.0,71849.63888888889,16320.583333333334,7112.583333333333,25764.36111111111,32186.666666666668,25444.777777777777
52207.97222222222,75428.58333333333,16037.944444444445,10496.611111111111,29442.86111111111,30628.0,24115.583333333332,50186.444444444445,68550.52777777778,15998.222222222223,7228.722222222223,26697.527777777777,32209.666666666668,25788.527777777777
