left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS
51200.166666666664,73034.94444444444,15759.111111111111,10789.75,29581.61111111111,30159.5,49733.666666666664,70190.83333333333,16102.888888888889,7235.444444444444,25526.63888888889,32429.444444444445
51926.694444444445,73464.55555555556,15949.416666666666,10372.916666666666,29919.222222222223,30564.63888888889,49997.333333333336,72183.33333333333,15720.027777777777,7373.805555555556,26081.444444444445,32324.277777777777
52108.02777777778,74473.88888888889,15933.472222222223,10596.833333333334,28977.86111111111,30431.666666666668,50051.75,72820.83333333333,16098.944444444445,7149.0,26182.722222222223,32657.36111111111
52365.52777777778,73398.5,16176.972222222223,10678.222222222223,29355.527777777777,30972.13888888889,49645.916666666664,69444.5,15903.777777777777,7188.055555555556,26318.055555555555,32104.027777777777
50484.916666666664,72578.33333333333,16265.666666666666,10754.972222222223,29416.277777777777,31063.583333333332,50784.305555555555,71142.63888888889,15981.444444444445,7220.777777777777,26005.777777777777,32748.333333333332
52037.52777777778,73003.80555555556,16298.361111111111,10653.722222222223,29131.083333333332,30464.916666666668,49577.63888888889,70962.11111111111,15884.111111111111,7414.25,26242.583333333332,33242.22222222222
51544.11111111111,73229.66666666667,15529.611111111111,10639.333333333334,28854.86111111111,30826.083333333332,49926.38888888889,71088.80555555556,15961.527777777777,7118.361111111111,25800.222222222223,33405.305555555555
52228.88888888889,73139.36111111111,15388.194444444445,10585.694444444445,30115.333333333332,30223.277777777777,49751.11111111111,71224.83333333333,15727.638888888889,7167.527777777777,26142.88888888889,33024.75
52246.166666666664,75202.25,15863.972222222223,10681.666666666666,28779.833333333332,30828.61111111111,50414.833333333336,69628.61111111111,16174.833333333334,7123.472222222223,26437.833333333332,32603.555555555555
52165.11111111111,73411.11111111111,15514.75,10215.25,29535.083333333332,30356.583333333332,50505.47222222222,70780.13888888889,15836.555555555555,7296.416666666667,26434.055555555555,32836.22222222222
