left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS,object_left_ventral_visual_cortex,object_left_dorsal_visual_cortex,object_left_LO,object_left_PFS,object_left_pIPS,object_left_aIPS,object_right_ventral_visual_cortex,object_right_dorsal_visual_cortex,object_right_LO,object_right_PFS,object_right_pIPS,object_right_aIPS
,,,,,,,,,,,,107236.29569444444,66190.93733333335,58542.44972222222,34446.45834166667,45575.15044444444,35018.423333333325,101322.32166666667,74439.94197222224,49949.07849166667,22335.703461111112,27516.705202777775,48339.888494444436
,,,,,,,,,,,,110756.30344444445,74407.15797222224,65585.11755555555,30982.291433333336,43934.877444444435,43876.91545,86167.6748888889,75238.67469444445,56303.345019444445,16637.51011666667,40365.03342222222,43276.190711111114
,,,,,,,,,,,,102577.45247222221,89665.92511111111,60271.34758333334,27201.088997222225,39948.043472222234,37115.131111111106,84641.63552777778,60082.35330555556,52312.560475,19577.327283333332,34092.337861111126,45614.75799444444
,,,,,,,,,,,,117522.30013888888,74202.27991666668,59762.49841666667,28608.833444444444,41847.75008333333,37965.482288888896,96837.49441666667,68049.17933333333,57456.48658333333,18123.76368333333,32188.752075,35997.8698111111
,,,,,,,,,,,,90049.75252777776,79844.49930555555,65266.03163888889,29498.51822222222,46198.92805555556,35172.084200000005,101118.05505555558,59006.90341666667,59131.98515833334,20717.713144444442,38709.795838888895,50376.41088888888
,,,,,,,,,,,,105243.04413888889,55060.930944444444,64420.946249999986,32521.22228611111,36330.439055555566,31587.213508333338,95434.55177777779,73211.96147222222,49967.41816944445,19123.300305555556,28748.227286111112,33965.07706111111
,,,,,,,,,,,,112942.4047222222,78246.83083333334,68014.50686111109,28308.706175,43222.60841666667,33607.60221944444,82370.07849999999,63796.14155555554,54249.89839166667,21179.397438888886,31245.69136666667,46751.23615555555
,,,,,,,,,,,,114869.64527777777,82243.1038888889,55107.700416666674,28722.38900833333,45975.00841666668,46013.521352777774,99069.9436388889,73950.66249999999,56027.398288888886,19191.91413333333,33087.171472222224,49700.80405555555
,,,,,,,,,,,,103832.70077777776,62622.174777777785,65784.89672222223,29418.990533333337,44187.95141666668,37764.44533055555,87680.49911111112,67794.08463888889,55540.473391666674,19875.064261111107,42751.79566666667,45463.376444444446
,,,,,,,,,,,,106635.99872222223,80125.99933333334,57351.777111111114,33716.793508333336,39826.67302777778,37435.84597777777,86372.45161111112,71359.78249999999,58080.030725000004,18109.328088888888,25191.319047222223,36375.809116666656
