left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,left_V1,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS,right_V1
19711.328313888887,20963.957167486107,1107.7902642444444,2501.932893111111,2314.8745859722226,1549.321692988889,24354.86125,14379.790013888889,10533.488802777778,812.176975825,805.2630916861111,2338.9889527777777,2221.560340722222,16222.87354722222
14044.25710111111,18810.815611111113,1512.9982870027777,2381.9104810555555,2014.565618361111,1667.8912927444444,25896.494180555557,8633.364080555555,13552.836613888889,1226.0580447527777,1111.3199206972222,1824.0264268055555,1516.7557685000002,16085.33485138889
12542.295918333333,18069.212305555557,1037.642966122222,2015.4082569444445,2291.133488388889,2134.888555922222,27489.321319444443,10255.085831944445,15038.823930555556,1012.3441562611113,895.4025193083334,2369.546923222222,1529.6881224444442,16110.418908333331
15159.838965555557,22015.121139708328,1692.0892360000003,1761.6822405000003,2771.460264916667,2275.0222652444445,25109.857666666663,12189.219543055553,13338.403558333335,1193.3491142138892,1846.597014722222,2460.54349675,2106.089190277778,16564.311816666665
15566.960638333332,20837.906556375,918.0487702055556,1901.300119722222,2842.2740812499997,833.3931208,27568.816499999997,13033.19425,12523.005630555554,996.3770341666669,1155.0933350944442,2271.2349651388886,2147.394677055556,18564.753701388883
18242.79452666666,15745.690919125003,1224.0645398999998,1919.4989999444442,1740.7274689166668,1847.248801077778,26853.572055555553,10148.96320138889,10864.64203611111,1331.8927893083335,578.1083349833334,2947.5092087499997,1581.2339892222221,21327.744730555554
16040.062165000001,17164.167639708332,1283.0105840277781,2070.847443111111,2106.8621476944445,1320.1445535444445,27557.329652777775,13022.350354166665,9396.395347222224,789.5197904833334,678.0316713888889,1696.3155665277782,2491.127385166666,17273.64620833333
18749.79112388889,16031.071254097224,1268.0497155750002,1864.1682579444443,1975.3562868055556,2057.4510448111114,27732.802902777777,9276.525305555557,12172.710947222224,619.6304946416666,657.1713534583333,1854.4517296111112,1532.2726935,17457.373829166663
18739.532246111114,16642.457611930557,1660.860102038889,2109.495285499999,2108.2743933888887,2243.7420658,25061.822458333332,8930.880248611113,13965.409066666667,715.9590553166668,1157.6422836416666,2074.789042222222,1658.2642552777781,16389.10972916667
18769.821407777777,13970.939639708333,1458.9772095666667,2259.3048828333335,2335.0427270833334,1648.2376338555555,26743.434875000003,9323.490818055556,11536.4315,1047.2599642055554,977.4539724,2751.4276442499995,1623.1791615555553,18612.404049999997
16855.562232777775,19247.682334152774,1413.7593638083333,2293.1773826666667,2843.50093925,3280.392138888889,25997.897930555555,10128.615372222224,10785.981311111109,546.9135683166667,818.3222761944444,2215.6818152777773,2285.207528888888,19524.46565416667
16025.301913888889,17223.37022386111,1466.8083262250002,2016.9269921111113,1756.4292432777777,1826.9164452444445,25014.43951388889,13952.010922222222,14550.580597222222,684.7804981888888,906.6281355972221,2261.385037472222,2904.101540222222,16808.572270833338
18818.55118444444,16666.53155719444,1267.0967452333334,1614.8099327222224,3165.2272588333335,1562.9849590111112,26540.4005,8137.071247222222,11858.650905555554,1287.187541872222,845.7642364194446,1651.0535365555556,1600.940298888889,16167.794241666668
16889.159621666666,21430.190473041665,1753.6911769111111,2103.3427932777777,2362.04977375,1359.5159142888888,26455.362305555554,11226.060315277778,13117.038780555558,771.3312908000001,952.0198106861112,2280.8105325555557,1550.4814473333336,20914.394812500002
17504.069171111114,19397.683419125,1217.4706525944446,2573.113899444444,1580.6572198333333,1743.599171111111,32618.025583333336,10615.412930555554,13028.157233333335,601.5886051666666,625.6104065861111,2180.0992610833327,1885.005582055556,15313.98804722222
16039.593651666668,17283.327696083332,1298.5043575749999,2152.063893777778,1454.8993974722225,2003.2654431444441,27553.086138888884,10705.212306944444,12235.663291666668,1045.2852450305554,954.7931492972223,2496.6301509166665,1961.5780838888886,19469.8469375
15698.419124999999,14605.533862750004,1539.3185368166664,1857.7940197777777,1970.5995306111113,1768.3328373444447,24786.161652777777,9420.539805555554,12585.017125,913.7900068166667,964.3707872166665,2219.8376332222224,1792.9966255000004,15337.45897083333
16027.098898333335,17183.03686275,1214.3048203444446,2757.6324361666666,1973.03123,1903.2644369111108,28213.58263888889,9978.750484722223,11863.854844444444,668.3794179444445,1158.129560511111,2418.471261,1637.9386012222221,16807.739488888896
16830.500726666665,17496.87072631944,1581.2468787888888,1746.1309219444443,2150.934057861111,1269.1854080222224,25772.552458333335,7839.406013888889,13300.714350000002,1067.1009898305556,517.7567419277777,2365.0648042500006,1962.971593,16664.626625
16562.71784888889,15140.783196902776,1435.3856734361113,1568.6325596666666,2310.2661297500003,1979.6035488222224,27361.99661111111,13049.973622222222,15031.046347222224,790.7442770944446,655.1528112416668,2468.257520888889,2270.8717314444443,15517.11854722222
13190.19481,14764.558473041667,1282.576694241667,2135.400105277778,2012.5704070000004,1513.8080165111112,31700.90388888889,9046.255795833333,12719.342722222222,1199.6943987611112,950.240380261111,2780.3908973888892,1681.4145047777777,17295.079469444445
18625.270918888888,15193.559112750001,1270.1258164944445,1714.1701907222223,2401.4566628333337,1732.0334205555557,27417.7295,11347.280426388888,12677.93497222222,766.1550837694444,529.3707091388889,2084.954449888888,1559.1493416666667,18977.608077777775
19257.468004444443,16237.798196902773,1602.390008991667,2730.1940205555557,1653.7259102777778,1472.5478622222226,25931.817499999997,14337.02268611111,12225.948583333335,622.1623601666666,710.3482652972222,2707.1048029444446,1998.9536932777778,18666.58605138889
17739.553848888885,16065.87636438889,1511.0120033555554,2164.9688344999995,1975.9122334166673,1484.888358177778,24189.43113888889,10538.406313888889,16683.50718055556,1007.3300297777779,647.1397947694445,1835.5879073888889,1894.3400108888886,17105.225354166665
13055.494389444446,20899.918308013886,1401.867933511111,1974.2329110000003,2546.1418004166667,1248.7022502444443,29856.481499999994,9404.4522625,12591.353280555557,1187.2925628166665,823.1258999833333,2020.365838777778,1754.9677768333333,17525.523319444448
16202.014194444442,19071.115086611113,1620.928767122222,2029.8955070555555,2345.0701204722227,1529.2844015111111,27107.749458333332,12696.727191666669,13233.156058333332,952.7492063333334,787.1071482333332,2738.835829333333,1988.4301724444445,19816.282095833332
15870.250207222221,18980.453529416664,1114.0047048000001,2306.817693222222,2199.3994728333337,817.9347420666668,26620.137486111114,12239.141125,13914.313861111114,993.912701975,724.7394832694445,2648.114449444444,1620.4063073333334,23784.53711666666
14027.752816111111,15794.72258497222,1678.7230141055559,1941.8837004444451,2207.1825085,2072.2724142555558,23697.105694444435,9966.744970833333,15561.141266666666,829.9035797055557,987.2662101777779,2736.0294630555554,1687.7047956666665,19233.640083333332
13967.89529222222,18695.025445263887,879.1324560583332,2219.8085318333333,1590.9425208333332,2105.786526233334,29801.883277777775,8245.535100000001,14560.357236111113,690.5397179361112,715.7266408333334,2117.2518069166667,1061.9252241666668,16097.021136111107
14518.150918333333,18649.483388888886,1414.325309075,2024.6907950555558,1938.0836636666666,1584.769541477778,29423.900749999997,10510.08516388889,10263.518250000001,649.3625160388888,1517.7375983055556,2606.8920509166664,1950.1254854999997,18783.60300694444
14214.166446111112,16687.671169124995,1281.9651056222222,1852.5277291666664,1918.9827399444443,1366.0296763555555,24573.959583333333,9527.969772222226,11255.581624999999,431.3824314416667,1045.5922602249998,2396.9055636666667,2504.5634958888886,18568.789891666664
16385.024719444446,20566.72422222222,1176.2016112055558,2503.7091235,2021.0913607222221,1888.5313837333333,31059.318958333337,9950.549713888888,10299.212947222222,883.7818593722221,700.5597558277777,2646.9407859166663,1531.292192777778,16945.245565277775
18124.412787222223,16501.70997468055,1037.2081859277778,2004.4121205555557,1654.2015958055554,2258.750467622222,25701.34423611111,9858.24769861111,10841.407866666668,1200.9347239444442,756.9653105027777,2176.759570611111,1600.6779093333334,16016.151331944446
16991.089190555555,18756.67658497222,1513.6584549833333,1590.3072037777774,2675.3632852222227,1657.3241244111114,26464.306444444443,10129.267440277777,12088.71577777778,879.1045488166668,1033.0326712416668,1737.4997977499997,1553.1731587222225,16050.005644444442
