left_ventral_visual_cortex,left_dorsal_visual_cortex,left_LO,left_PFS,left_pIPS,left_aIPS,right_ventral_visual_cortex,right_dorsal_visual_cortex,right_LO,right_PFS,right_pIPS,right_aIPS
103755.77144444446,72152.41469444445,56416.474972222226,33817.66203333334,42076.44927777778,39722.74919166667,95631.24975,83857.72652777778,58008.214491666666,22459.11663333333,34486.82122499999,46010.490455555555
108603.61044444444,78876.78516666667,63702.74405555555,32308.617933333335,41464.38352777777,43270.57895555555,94744.40250000001,82225.27463888889,51428.25935277777,22389.741683333334,34447.58881388889,49230.88566666666
101836.13733333335,85889.33241666667,56155.73369444445,35119.783675000006,39718.601111111115,38525.669350000004,102997.78119444445,74214.62666666665,51438.782430555555,20353.525422222225,40282.56786666667,36818.37201666667
95068.66611111112,74200.72222222223,67028.60702777776,27783.51644166667,46831.01727777778,49792.10453333334,101771.44697222224,56075.47552777779,63503.19769444445,21106.06039444444,29988.512897222226,39805.5013
119088.38016666665,64750.74033333334,64469.65994444446,32393.745961111104,36420.32786111112,42336.975163888885,88688.02616666668,87196.83186111112,55451.885122222215,18660.293872222224,37156.565852777785,37768.937999999995
105082.30755555554,74726.49958333332,65870.90908333335,35318.248250000004,39288.14541666667,43969.969177777784,101873.57933333333,66084.01322222222,55114.524519444436,21515.22856111111,33551.061047222225,38092.46941666667
95618.42183333334,74828.57691666667,55276.798444444445,38176.27434166667,35335.366055555554,29080.562622222227,90991.11894444446,80272.07913888888,62583.68074166667,21682.377644444445,32513.74333333334,36579.488600000004
115921.21033333334,82126.47066666668,55750.27116666667,26292.390025,38662.05977777778,37617.45755,84226.75833333333,53394.24144444445,57241.11743611111,19509.12662777778,43584.83789444445,38505.187633333335
109256.65444444444,76439.42255555556,68441.60022222222,30894.243480555557,34917.61902777778,39512.40351111111,89296.49511111111,59626.04433333333,64535.52823333334,20264.364255555553,41324.286963888895,41329.04302222221
106730.36619444445,75164.3059166667,60616.045694444445,28103.066175,47556.614194444446,31260.756305555547,92932.73830555555,62393.58094444444,61496.88519444445,19116.843705555555,38811.406749999995,41777.94961111111
99039.93158333334,70347.61541666667,61484.42661111112,26370.881905555558,48359.83230555556,30739.16962222222,88092.19469444446,66086.56769444444,55115.80342777778,18770.05518888889,35521.674094444454,43980.27944444445
96167.97019444444,76000.17736111111,56697.96166666667,27848.828025000003,41721.268000000004,39801.38749166666,89119.83825000002,74428.63919444443,58230.71996388889,20009.644955555552,38830.89796111111,38675.45468333332
104686.25219444445,67400.90841666666,54228.305944444444,30169.713413888894,38559.046527777784,34694.794055555554,107892.55655555557,57219.173083333335,46855.60385555556,21737.461872222226,32150.10869999999,41136.457033333325
86381.01094444444,61452.02844444445,66545.09572222222,32055.932191666667,41198.55066666668,45822.70724166666,107900.8186388889,67731.7437777778,66303.91865833334,19870.570499999998,39385.625041666666,50309.41469444444
101203.37061111111,84489.7146388889,71320.16694444444,26160.84245,44810.68416666667,43469.835552777775,91375.38272222225,67271.21724999997,54466.80160277778,23205.51819444444,42923.64202777778,40084.39510555555
102015.62280555557,71600.82111111113,64739.739750000015,27096.436941666663,35727.174416666676,29052.734261111113,95187.21369444445,58045.39447222222,56527.87192777778,21257.468849999997,26080.889377777778,54252.85094444445
92071.81783333333,79856.80408333332,63622.32502777778,34734.71791666667,45726.77147222222,45138.85882222223,107401.03597222223,66798.48872222222,56010.20021388889,19945.905583333333,31912.262625,42951.942988888884
94148.05080555555,77305.42050000001,54829.93394444445,27239.72243333333,39457.856722222234,45209.87547222222,92145.21677777778,75602.94016666667,57567.59587222222,17516.09931666667,40436.63237777779,42400.54048333332
109848.37825000001,72725.46452777779,60374.579194444435,31571.966286111106,37890.43600000001,40558.27408888889,91129.67155555557,72417.41483333333,58154.724408333335,18827.278511111108,34186.77658611111,33446.15083888888
96892.72713888888,75110.51722222223,55963.97280555556,27857.93671111111,47772.49333333334,41481.816727777776,90967.22730555554,70657.76922222221,56472.09053055556,18232.945333333333,31043.840175,48219.22421666666
100304.02819444443,81593.35352777778,51960.69775,28504.135644444443,36713.13163888889,35868.36281666666,95129.90325,62240.38611111111,67107.51944444444,20099.844349999996,33182.22111944445,46810.39418333332
96487.0808888889,70005.47913888888,61134.835861111096,33159.65889722223,41419.3521388889,41529.735972222225,85838.94177777779,48657.053555555554,61778.64456666667,18242.831405555553,31704.27790555555,38612.80294444444
104006.23130555557,75418.7928611111,66415.88233333331,35490.47842500001,36729.08158333334,41571.168777777784,95800.18088888888,70262.18777777778,59309.98237222222,18794.762766666667,31270.073919444443,48312.872744444445
128669.37166666669,58032.10030555555,62483.374472222225,29705.914425,43573.78347222223,33570.12678611111,88765.85411111111,66311.93002777778,55073.85318611111,17379.054355555556,31493.822516666667,48252.65157222222
94019.58708333333,71385.01841666667,55077.29511111111,36447.75489722223,44772.814750000005,37426.87387777778,89542.47586111112,68183.8064722222,53659.85044722222,22721.073877777777,29071.69911666667,36009.59124444443
88707.43116666668,79777.38466666668,61589.07875,38158.38603611112,40424.73458333334,37407.25094722223,103202.78322222222,62131.0994722222,55014.931475000005,20282.415422222217,31756.028786111114,39575.81823888888
94342.89555555554,74339.71472222223,57443.63466666666,32436.97266666667,46459.0215,34552.37296666667,86430.17994444445,59674.51230555555,59105.06478888889,18597.999038888887,33633.8042,38680.65340555555
108809.76338888891,76022.16105555555,58912.41652777778,30517.31456111111,52018.55986111112,44024.193677777774,91551.50166666666,63683.83066666667,47930.21495833334,18385.878244444444,30419.801102777776,35359.820588888884
106064.97455555556,76248.55344444446,64258.266027777776,37761.003683333336,41401.468666666675,42798.9086638889,87025.64986111113,61446.81033333333,56938.80062222222,24456.406933333335,32320.11501111111,45482.53846666667
110290.50349999999,73434.44313888886,67739.54925,33122.640702777775,44568.95916666666,50766.125402777776,89898.63833333335,68309.141,59801.800836111106,20218.43332222222,35286.21259166667,50974.23462222222
103197.07694444444,67242.21586111112,65371.27377777778,38222.906924999996,39000.580638888896,39015.48108888888,78801.26677777778,67238.04791666668,54436.81803055555,20113.70572777778,25582.61889722222,41953.46738333333
97230.23611111111,65221.50325,59134.650111111114,33300.01355277778,43030.78336111112,36490.95737777777,95951.38063888888,69307.89183333334,58111.581213888894,23356.12405555556,38350.34916944445,38100.06455555555
95682.77477777778,70795.71855555556,67885.995,37175.08247222222,42167.47050000001,33730.73488611112,98314.60380555555,70195.55302777776,55204.36827777778,23725.208822222223,34226.21756388889,40434.04757222222
99339.11086111111,73246.67644444444,66259.06616666664,28642.241369444444,48436.018472222226,44671.213180555555,89351.53836111112,73869.13516666666,57354.37180833334,21937.58773888889,30458.082588888887,45945.16129444445
94117.86116666667,80410.77516666667,63309.837638888894,28528.403672222223,38842.02119444445,35967.82498888889,80576.20055555557,66405.48477777779,48614.80717777777,20013.13632222222,29726.332266666668,55560.21763888889
91217.53783333334,76787.65441666667,62830.18283333335,30099.099877777775,45070.806888888896,38184.392577777784,87966.30888888889,64980.420305555555,57333.40401111111,21287.502255555555,35573.05572222223,41231.703149999994
93018.67108333333,77847.4377777778,54431.82672222223,31050.447322222215,40540.36397222223,39358.897950000006,108142.91199999998,64904.45894444443,59793.01267777778,19148.064144444445,25093.84717222222,51901.41058333332
98632.09363888888,59660.929472222226,65570.84908333335,33032.07317222222,36591.871194444444,44824.1857,91249.2331388889,69771.21152777778,54373.96507777778,18443.357394444447,29360.51055833333,46662.2241611111
117894.25955555557,69239.70558333334,60397.79352777779,31129.82173888889,44131.26666666667,34288.52442222222,93340.82066666667,80054.42347222222,67770.03950000001,21239.501477777776,34201.124894444445,43314.288711111105
102498.15194444446,68313.06919444446,66325.44274999999,30111.835527777774,38707.74069444445,42211.49715277777,94112.95908333334,66605.22130555556,57105.21970555555,20168.198561111112,29689.976550000003,34340.817688888885
120500.91583333333,76573.93258333333,62993.84180555556,27252.62083888889,40270.33636111111,38364.02443055555,87183.2907777778,70089.69916666666,64430.55100000001,18886.68511666667,30513.174625,35155.36126666667
93651.44872222221,72698.97552777779,57723.23636111111,32118.311286111115,43576.03219444446,37733.25869722223,96605.23205555556,80906.65494444444,60012.859566666666,19942.653738888886,33602.80481944445,47027.53754999999
114759.46727777779,83257.96508333333,56047.037749999996,27336.151394444445,38109.208416666675,39060.282488888886,109342.83577777777,68926.34208333332,60364.33508611111,21272.742044444443,32795.98323888889,37167.14887222221
99663.86302777778,65317.506722222235,70650.38033333333,31719.502849999997,45501.69263888889,31488.423297222223,92876.76730555556,68566.89022222222,62325.924250000004,20787.405938888885,41238.906125,40937.545249999996
