subject,seed_roi,seed_hemisphere,target_roi,target_hemisphere,task,analysis,mean_activation
sub-spaceloc1001,pIPS,left,LO,left,ToolLoc,ppi,0.0006574374044431257
sub-spaceloc1001,pIPS,left,LO,right,ToolLoc,ppi,0.004932925522618721
sub-spaceloc1001,pIPS,right,LO,left,ToolLoc,ppi,-0.014816394814966499
sub-spaceloc1001,pIPS,right,LO,right,ToolLoc,ppi,-0.012138813428825203
sub-spaceloc1001,aIPS,left,LO,left,ToolLoc,ppi,-0.037118715065484094
sub-spaceloc1001,aIPS,left,LO,right,ToolLoc,ppi,-0.041685564490294355
sub-spaceloc1001,aIPS,right,LO,left,ToolLoc,ppi,-0.02443003921823939
sub-spaceloc1001,aIPS,right,LO,right,ToolLoc,ppi,-0.01963914709819203
sub-spaceloc1002,pIPS,left,LO,left,ToolLoc,ppi,0.011956380764499773
sub-spaceloc1002,pIPS,left,LO,right,ToolLoc,ppi,0.012868609791635014
sub-spaceloc1002,pIPS,right,LO,left,ToolLoc,ppi,-0.0013651259616131914
sub-spaceloc1002,pIPS,right,LO,right,ToolLoc,ppi,0.00022598486934934808
sub-spaceloc1002,aIPS,left,LO,left,ToolLoc,ppi,0.005050055737186941
sub-spaceloc1002,aIPS,left,LO,right,ToolLoc,ppi,0.007955484490259825
sub-spaceloc1002,aIPS,right,LO,left,ToolLoc,ppi,0.003156323769383756
sub-spaceloc1002,aIPS,right,LO,right,ToolLoc,ppi,0.009261722650401805
sub-spaceloc1003,pIPS,left,LO,left,ToolLoc,ppi,0.0055925340414489004
sub-spaceloc1003,pIPS,left,LO,right,ToolLoc,ppi,-0.0007302366703357774
sub-spaceloc1003,pIPS,right,LO,left,ToolLoc,ppi,-0.005437545500164781
sub-spaceloc1003,pIPS,right,LO,right,ToolLoc,ppi,-0.006956859524293125
sub-spaceloc1003,aIPS,left,LO,left,ToolLoc,ppi,-0.002656998550573506
sub-spaceloc1003,aIPS,left,LO,right,ToolLoc,ppi,-0.004911270841911941
sub-spaceloc1003,aIPS,right,LO,left,ToolLoc,ppi,-0.0035600208384338103
sub-spaceloc1003,aIPS,right,LO,right,ToolLoc,ppi,-0.01034807784297058
sub-spaceloc1004,pIPS,left,LO,left,ToolLoc,ppi,0.013706593622555517
sub-spaceloc1004,pIPS,left,LO,right,ToolLoc,ppi,0.008939125530634253
sub-spaceloc1004,pIPS,right,LO,left,ToolLoc,ppi,-0.004945231863197674
sub-spaceloc1004,pIPS,right,LO,right,ToolLoc,ppi,-0.003903955674459995
sub-spaceloc1004,aIPS,left,LO,left,ToolLoc,ppi,0.00041390776762683697
sub-spaceloc1004,aIPS,left,LO,right,ToolLoc,ppi,0.0008632872693766456
sub-spaceloc1004,aIPS,right,LO,left,ToolLoc,ppi,0.0017347110170344337
sub-spaceloc1004,aIPS,right,LO,right,ToolLoc,ppi,0.0028071543621600984
sub-spaceloc1005,pIPS,left,LO,left,ToolLoc,ppi,0.004075492185638561
sub-spaceloc1005,pIPS,left,LO,right,ToolLoc,ppi,0.011222135650354082
sub-spaceloc1005,pIPS,right,LO,left,ToolLoc,ppi,-0.010036484610775753
sub-spaceloc1005,pIPS,right,LO,right,ToolLoc,ppi,-0.00380804185386383
sub-spaceloc1005,aIPS,left,LO,left,ToolLoc,ppi,0.013900001412505024
sub-spaceloc1005,aIPS,left,LO,right,ToolLoc,ppi,0.019748090564108225
sub-spaceloc1005,aIPS,right,LO,left,ToolLoc,ppi,0.0004363239729997728
sub-spaceloc1005,aIPS,right,LO,right,ToolLoc,ppi,0.006603170967301923
sub-spaceloc1006,pIPS,left,LO,left,ToolLoc,ppi,-0.010978545956157512
sub-spaceloc1006,pIPS,left,LO,right,ToolLoc,ppi,-0.007315851103373303
sub-spaceloc1006,pIPS,right,LO,left,ToolLoc,ppi,0.007189864733973508
