subject,seed_roi,seed_hemisphere,target_roi,target_hemisphere,task,analysis,mean_activation
sub-spaceloc1001,pIPS,left,pIPS,left,ToolLoc,ppi,-0.010437984693714458
sub-spaceloc1001,pIPS,left,pIPS,right,ToolLoc,ppi,0.0011892400431312486
sub-spaceloc1001,pIPS,left,LO,left,ToolLoc,ppi,-0.010437984693714458
sub-spaceloc1001,pIPS,left,LO,right,ToolLoc,ppi,0.0011892400431312486
sub-spaceloc1001,pIPS,left,PFS,left,ToolLoc,ppi,-0.010437984693714458
sub-spaceloc1001,pIPS,left,PFS,right,ToolLoc,ppi,0.0011892400431312486
sub-spaceloc1001,pIPS,left,aIPS,left,ToolLoc,ppi,-0.010437984693714458
sub-spaceloc1001,pIPS,left,aIPS,right,ToolLoc,ppi,0.0011892400431312486
sub-spaceloc1001,pIPS,right,pIPS,left,ToolLoc,ppi,-0.006763708009953995
sub-spaceloc1001,pIPS,right,pIPS,right,ToolLoc,ppi,-0.010084773892083683
sub-spaceloc1001,pIPS,right,LO,left,ToolLoc,ppi,-0.006763708009953995
sub-spaceloc1001,pIPS,right,LO,right,ToolLoc,ppi,-0.010084773892083683
sub-spaceloc1001,pIPS,right,PFS,left,ToolLoc,ppi,-0.006763708009953995
sub-spaceloc1001,pIPS,right,PFS,right,ToolLoc,ppi,-0.010084773892083683
sub-spaceloc1001,pIPS,right,aIPS,left,ToolLoc,ppi,-0.006763708009953995
sub-spaceloc1001,pIPS,right,aIPS,right,ToolLoc,ppi,-0.010084773892083683
sub-spaceloc1001,LO,left,pIPS,left,ToolLoc,ppi,-0.0031118396304041277
sub-spaceloc1001,LO,left,pIPS,right,ToolLoc,ppi,-0.002328142620220294
sub-spaceloc1001,LO,left,LO,left,ToolLoc,ppi,-0.0031118396304041277
sub-spaceloc1001,LO,left,LO,right,ToolLoc,ppi,-0.002328142620220294
sub-spaceloc1001,LO,left,PFS,left,ToolLoc,ppi,-0.0031118396304041277
sub-spaceloc1001,LO,left,PFS,right,ToolLoc,ppi,-0.002328142620220294
sub-spaceloc1001,LO,left,aIPS,left,ToolLoc,ppi,-0.0031118396304041277
sub-spaceloc1001,LO,left,aIPS,right,ToolLoc,ppi,-0.002328142620220294
sub-spaceloc1001,LO,right,pIPS,left,ToolLoc,ppi,-0.007504478072325838
sub-spaceloc1001,LO,right,pIPS,right,ToolLoc,ppi,-0.0010518283337000263
sub-spaceloc1001,LO,right,LO,left,ToolLoc,ppi,-0.007504478072325838
sub-spaceloc1001,LO,right,LO,right,ToolLoc,ppi,-0.0010518283337000263
sub-spaceloc1001,LO,right,PFS,left,ToolLoc,ppi,-0.007504478072325838
sub-spaceloc1001,LO,right,PFS,right,ToolLoc,ppi,-0.0010518283337000263
sub-spaceloc1001,LO,right,aIPS,left,ToolLoc,ppi,-0.007504478072325838
sub-spaceloc1001,LO,right,aIPS,right,ToolLoc,ppi,-0.0010518283337000263
sub-spaceloc1001,PFS,left,pIPS,left,ToolLoc,ppi,0.0060933757321046346
sub-spaceloc1001,PFS,left,pIPS,right,ToolLoc,ppi,-0.0015035244260533627
sub-spaceloc1001,PFS,left,LO,left,ToolLoc,ppi,0.0060933757321046346
sub-spaceloc1001,PFS,left,LO,right,ToolLoc,ppi,-0.0015035244260533627
sub-spaceloc1001,PFS,left,PFS,left,ToolLoc,ppi,0.0060933757321046346
sub-spaceloc1001,PFS,left,PFS,right,ToolLoc,ppi,-0.0015035244260533627
sub-spaceloc1001,PFS,left,aIPS,left,ToolLoc,ppi,0.0060933757321046346
sub-spaceloc1001,PFS,left,aIPS,right,ToolLoc,ppi,-0.0015035244260533627
sub-spaceloc1001,PFS,right,pIPS,left,ToolLoc,ppi,-0.005058923359423976
sub-spaceloc1001,PFS,right,pIPS,right,ToolLoc,ppi,-0.011129765301434832
sub-spaceloc1001,PFS,right,LO,left,ToolLoc,ppi,-0.005058923359423976
sub-spaceloc1001,PFS,right,LO,right,ToolLoc,ppi,-0.011129765301434832
sub-spaceloc1001,PFS,right,PFS,left,ToolLoc,ppi,-0.005058923359423976
sub-spaceloc1001,PFS,right,PFS,right,ToolLoc,ppi,-0.011129765301434832
sub-spaceloc1001,PFS,right,aIPS,left,ToolLoc,ppi,-0.005058923359423976
sub-spaceloc1001,PFS,right,aIPS,right,ToolLoc,ppi,-0.011129765301434832
sub-spaceloc1001,aIPS,left,pIPS,left,ToolLoc,ppi,-0.00036648056953675497
sub-spaceloc1001,aIPS,left,pIPS,right,ToolLoc,ppi,-0.028748311950415693
sub-spaceloc1001,aIPS,left,LO,left,ToolLoc,ppi,-0.00036648056953675497
sub-spaceloc1001,aIPS,left,LO,right,ToolLoc,ppi,-0.028748311950415693
sub-spaceloc1001,aIPS,left,PFS,left,ToolLoc,ppi,-0.00036648056953675497
sub-spaceloc1001,aIPS,left,PFS,right,ToolLoc,ppi,-0.028748311950415693
sub-spaceloc1001,aIPS,left,aIPS,left,ToolLoc,ppi,-0.00036648056953675497
sub-spaceloc1001,aIPS,left,aIPS,right,ToolLoc,ppi,-0.028748311950415693
sub-spaceloc1001,aIPS,right,pIPS,left,ToolLoc,ppi,0.02752131015733055
sub-spaceloc1001,aIPS,right,pIPS,right,ToolLoc,ppi,0.005789598130675209
sub-spaceloc1001,aIPS,right,LO,left,ToolLoc,ppi,0.02752131015733055
sub-spaceloc1001,aIPS,right,LO,right,ToolLoc,ppi,0.005789598130675209
sub-spaceloc1001,aIPS,right,PFS,left,ToolLoc,ppi,0.02752131015733055
sub-spaceloc1001,aIPS,right,PFS,right,ToolLoc,ppi,0.005789598130675209
sub-spaceloc1001,aIPS,right,aIPS,left,ToolLoc,ppi,0.02752131015733055
sub-spaceloc1001,aIPS,right,aIPS,right,ToolLoc,ppi,0.005789598130675209
sub-spaceloc1002,pIPS,left,pIPS,left,ToolLoc,ppi,0.012852494240455006
sub-spaceloc1002,pIPS,left,pIPS,right,ToolLoc,ppi,0.021010916897196422
sub-spaceloc1002,pIPS,left,LO,left,ToolLoc,ppi,0.012852494240455006
sub-spaceloc1002,pIPS,left,LO,right,ToolLoc,ppi,0.021010916897196422
sub-spaceloc1002,pIPS,left,PFS,left,ToolLoc,ppi,0.012852494240455006
sub-spaceloc1002,pIPS,left,PFS,right,ToolLoc,ppi,0.021010916897196422
sub-spaceloc1002,pIPS,left,aIPS,left,ToolLoc,ppi,0.012852494240455006
sub-spaceloc1002,pIPS,left,aIPS,right,ToolLoc,ppi,0.021010916897196422
sub-spaceloc1002,pIPS,right,pIPS,left,ToolLoc,ppi,0.0037604688478218716
sub-spaceloc1002,pIPS,right,pIPS,right,ToolLoc,ppi,-0.004234267479733791
sub-spaceloc1002,pIPS,right,LO,left,ToolLoc,ppi,0.0037604688478218716
sub-spaceloc1002,pIPS,right,LO,right,ToolLoc,ppi,-0.004234267479733791
sub-spaceloc1002,pIPS,right,PFS,left,ToolLoc,ppi,0.0037604688478218716
sub-spaceloc1002,pIPS,right,PFS,right,ToolLoc,ppi,-0.004234267479733791
sub-spaceloc1002,pIPS,right,aIPS,left,ToolLoc,ppi,0.0037604688478218716
sub-spaceloc1002,pIPS,right,aIPS,right,ToolLoc,ppi,-0.004234267479733791
sub-spaceloc1002,LO,left,pIPS,left,ToolLoc,ppi,-0.002155991530009104
sub-spaceloc1002,LO,left,pIPS,right,ToolLoc,ppi,0.019834244504789367
sub-spaceloc1002,LO,left,LO,left,ToolLoc,ppi,-0.002155991530009104
sub-spaceloc1002,LO,left,LO,right,ToolLoc,ppi,0.019834244504789367
sub-spaceloc1002,LO,left,PFS,left,ToolLoc,ppi,-0.002155991530009104
sub-spaceloc1002,LO,left,PFS,right,ToolLoc,ppi,0.019834244504789367
sub-spaceloc1002,LO,left,aIPS,left,ToolLoc,ppi,-0.002155991530009104
sub-spaceloc1002,LO,left,aIPS,right,ToolLoc,ppi,0.019834244504789367
sub-spaceloc1002,LO,right,pIPS,left,ToolLoc,ppi,-0.010633916530263889
sub-spaceloc1002,LO,right,pIPS,right,ToolLoc,ppi,0.005527290091149311
sub-spaceloc1002,LO,right,LO,left,ToolLoc,ppi,-0.010633916530263889
sub-spaceloc1002,LO,right,LO,right,ToolLoc,ppi,0.005527290091149311
sub-spaceloc1002,LO,right,PFS,left,ToolLoc,ppi,-0.010633916530263889
sub-spaceloc1002,LO,right,PFS,right,ToolLoc,ppi,0.005527290091149311
sub-spaceloc1002,LO,right,aIPS,left,ToolLoc,ppi,-0.010633916530263889
sub-spaceloc1002,LO,right,aIPS,right,ToolLoc,ppi,0.005527290091149311
sub-spaceloc1002,PFS,left,pIPS,left,ToolLoc,ppi,0.005211257437752336
sub-spaceloc1002,PFS,left,pIPS,right,ToolLoc,ppi,-0.0008158663984927857
sub-spaceloc1002,PFS,left,LO,left,ToolLoc,ppi,0.005211257437752336
sub-spaceloc1002,PFS,left,LO,right,ToolLoc,ppi,-0.0008158663984927857
sub-spaceloc1002,PFS,left,PFS,left,ToolLoc,ppi,0.005211257437752336
sub-spaceloc1002,PFS,left,PFS,right,ToolLoc,ppi,-0.0008158663984927857
sub-spaceloc1002,PFS,left,aIPS,left,ToolLoc,ppi,0.005211257437752336
sub-spaceloc1002,PFS,left,aIPS,right,ToolLoc,ppi,-0.0008158663984927857
sub-spaceloc1002,PFS,right,pIPS,left,ToolLoc,ppi,-0.007924496729434136
sub-spaceloc1002,PFS,right,pIPS,right,ToolLoc,ppi,-0.013748915419934995
sub-spaceloc1002,PFS,right,LO,left,ToolLoc,ppi,-0.007924496729434136
sub-spaceloc1002,PFS,right,LO,right,ToolLoc,ppi,-0.013748915419934995
sub-spaceloc1002,PFS,right,PFS,left,ToolLoc,ppi,-0.007924496729434136
sub-spaceloc1002,PFS,right,PFS,right,ToolLoc,ppi,-0.013748915419934995
sub-spaceloc1002,PFS,right,aIPS,left,ToolLoc,ppi,-0.007924496729434136
sub-spaceloc1002,PFS,right,aIPS,right,ToolLoc,ppi,-0.013748915419934995
sub-spaceloc1002,aIPS,left,pIPS,left,ToolLoc,ppi,0.01776150600085411
sub-spaceloc1002,aIPS,left,pIPS,right,ToolLoc,ppi,0.016349369614356967
sub-spaceloc1002,aIPS,left,LO,left,ToolLoc,ppi,0.01776150600085411
