subject,seed_roi,seed_hemi,target_roi,target_hemi,run_combo,value
sub-spaceloc1001,pIPS,left,pIPS,right,1to2,0.18201485
sub-spaceloc1001,pIPS,left,pIPS,right,2to1,0.08572493
sub-spaceloc1001,pIPS,left,aIPS,left,1to2,0.15205924
sub-spaceloc1001,pIPS,left,aIPS,left,2to1,0.094262615
sub-spaceloc1001,pIPS,left,aIPS,right,1to2,0.13038754
sub-spaceloc1001,pIPS,left,aIPS,right,2to1,0.07951553
sub-spaceloc1001,pIPS,left,LO,left,1to2,0.14375767
sub-spaceloc1001,pIPS,left,LO,left,2to1,0.14600952
sub-spaceloc1001,pIPS,left,LO,right,1to2,0.14073105
sub-spaceloc1001,pIPS,left,LO,right,2to1,0.14406434
sub-spaceloc1001,pIPS,right,pIPS,left,1to2,0.10787006
sub-spaceloc1001,pIPS,right,pIPS,left,2to1,0.17599446
sub-spaceloc1001,pIPS,right,aIPS,left,1to2,0.30872348
sub-spaceloc1001,pIPS,right,aIPS,left,2to1,0.26506066
sub-spaceloc1001,pIPS,right,aIPS,right,1to2,0.28405157
sub-spaceloc1001,pIPS,right,aIPS,right,2to1,0.40669796
sub-spaceloc1001,pIPS,right,LO,left,1to2,0.16169086
sub-spaceloc1001,pIPS,right,LO,left,2to1,0.16540748
sub-spaceloc1001,pIPS,right,LO,right,1to2,0.17883815
sub-spaceloc1001,pIPS,right,LO,right,2to1,0.18287678
sub-spaceloc1001,aIPS,left,pIPS,left,1to2,0.081409164
sub-spaceloc1001,aIPS,left,pIPS,left,2to1,0.13940272
sub-spaceloc1001,aIPS,left,pIPS,right,1to2,0.16799761
sub-spaceloc1001,aIPS,left,pIPS,right,2to1,0.41034645
sub-spaceloc1001,aIPS,left,aIPS,right,1to2,0.2943001
sub-spaceloc1001,aIPS,left,aIPS,right,2to1,0.4154613
sub-spaceloc1001,aIPS,left,LO,left,1to2,0.03077601
sub-spaceloc1001,aIPS,left,LO,left,2to1,0.0152857015
sub-spaceloc1001,aIPS,left,LO,right,1to2,0.06426614
sub-spaceloc1001,aIPS,left,LO,right,2to1,0.06142988
sub-spaceloc1001,aIPS,right,pIPS,left,1to2,0.07802728
sub-spaceloc1001,aIPS,right,pIPS,left,2to1,0.10657418
sub-spaceloc1001,aIPS,right,pIPS,right,1to2,0.20147766
sub-spaceloc1001,aIPS,right,pIPS,right,2to1,0.49768117
sub-spaceloc1001,aIPS,right,aIPS,left,1to2,0.38717687
sub-spaceloc1001,aIPS,right,aIPS,left,2to1,0.33538476
sub-spaceloc1001,aIPS,right,LO,left,1to2,0.072465554
sub-spaceloc1001,aIPS,right,LO,left,2to1,0.06197041
sub-spaceloc1001,aIPS,right,LO,right,1to2,0.08253954
