sub,leftpIPS,leftaIPS,leftLO,rightpIPS,rightaIPS,rightLO
sub-spaceloc1001,0.09276923,0.17202832,0.29646748,0.15914592,0.17097983,0.3071254
sub-spaceloc1002,0.17100883,0.15730435,0.33540422,0.15228657,0.1672473,0.3471806
sub-spaceloc1003,0.23174013,0.24073704,0.31260148,0.23794033,0.22663346,0.29799145
sub-spaceloc1004,0.16993421,0.17354839,0.42302907,0.14065228,0.15181267,0.3893819
sub-spaceloc1005,0.22332817,0.22325838,0.29546592,0.22937843,0.20502387,0.3011301
sub-spaceloc1006,0.1619363,0.22898461,0.20918371,0.16686368,0.20847437,0.13539672
sub-spaceloc1007,0.19548759,0.20660986,0.35166976,0.18454003,0.19509184,0.33417138
sub-spaceloc1008,0.13122708,0.17487669,0.2856915,0.15897045,0.1586018,0.28880188
sub-spaceloc1009,0.12572014,0.12482168,0.37092322,0.1136911,0.09480764,0.37621912
sub-spaceloc1010,0.12157055,0.20315205,0.35781446,0.13083959,0.20204262,0.2999828
sub-spaceloc1011,0.16797282,0.15852384,0.34107277,0.15074944,0.193344,0.35812405
sub-spaceloc1012,0.2136571,0.27663764,0.33898097,0.19218567,0.21658507,0.31674203
sub-spaceloc2013,0.22670814,0.21601163,0.31599075,0.22548363,0.20141016,0.35378703
sub-spaceloc2014,0.33570066,0.4308443,0.39691436,0.4120817,0.42848843,0.38594162
sub-spaceloc2015,0.15088709,0.14765489,0.28092578,0.12346569,0.17339534,0.23105781
sub-spaceloc2016,0.2059188,0.26735243,0.45272723,0.2260812,0.25152472,0.40004376
sub-spaceloc2017,0.11598688,0.07838541,0.31696695,0.15805866,0.15044864,0.32243943
sub-spaceloc2018,0.1235801,0.16455577,0.431347,0.1533888,0.1887405,0.40942663
