subject,seed_roi,seed_hemisphere,target_roi,target_hemisphere,task,analysis,mean_activation
sub-spaceloc1001,pIPS,left,LO,left,ToolLoc,ppi,-0.013746455922828
sub-spaceloc1001,pIPS,left,LO,right,ToolLoc,ppi,-7.229505209314052e-05
sub-spaceloc1001,pIPS,right,LO,left,ToolLoc,ppi,-0.00319499355604772
sub-spaceloc1001,pIPS,right,LO,right,ToolLoc,ppi,-0.0017127960944029017
sub-spaceloc1001,aIPS,left,LO,left,ToolLoc,ppi,-0.002789343832869475
sub-spaceloc1001,aIPS,left,LO,right,ToolLoc,ppi,0.0030777046804118537
sub-spaceloc1001,aIPS,right,LO,left,ToolLoc,ppi,-0.006733965342598886
sub-spaceloc1001,aIPS,right,LO,right,ToolLoc,ppi,-0.00014671349209791
sub-spaceloc1002,pIPS,left,LO,left,ToolLoc,ppi,-0.005439753301288874
sub-spaceloc1002,pIPS,left,LO,right,ToolLoc,ppi,0.008967419593368546
sub-spaceloc1002,pIPS,right,LO,left,ToolLoc,ppi,-0.0038959084509510183
sub-spaceloc1002,pIPS,right,LO,right,ToolLoc,ppi,0.005215866856998977
sub-spaceloc1002,aIPS,left,LO,left,ToolLoc,ppi,-0.007076401126531502
sub-spaceloc1002,aIPS,left,LO,right,ToolLoc,ppi,0.0014477110950600937
sub-spaceloc1002,aIPS,right,LO,left,ToolLoc,ppi,-0.0035872039071754053
sub-spaceloc1002,aIPS,right,LO,right,ToolLoc,ppi,0.008033855129599383
sub-spaceloc1003,pIPS,left,LO,left,ToolLoc,ppi,0.0009424412701014054
sub-spaceloc1003,pIPS,left,LO,right,ToolLoc,ppi,0.0020982926796129613
sub-spaceloc1003,pIPS,right,LO,left,ToolLoc,ppi,0.0029381047365567518
sub-spaceloc1003,pIPS,right,LO,right,ToolLoc,ppi,-0.0014450171089789889
sub-spaceloc1003,aIPS,left,LO,left,ToolLoc,ppi,-0.0003841361415427212
sub-spaceloc1003,aIPS,left,LO,right,ToolLoc,ppi,0.0031608474920168184
sub-spaceloc1003,aIPS,right,LO,left,ToolLoc,ppi,-0.000614218718218489
sub-spaceloc1003,aIPS,right,LO,right,ToolLoc,ppi,0.0015495412286605922
sub-spaceloc1004,pIPS,left,LO,left,ToolLoc,ppi,-0.004181886762775581
sub-spaceloc1004,pIPS,left,LO,right,ToolLoc,ppi,-0.000989896826833382
sub-spaceloc1004,pIPS,right,LO,left,ToolLoc,ppi,-0.0018019783561352856
sub-spaceloc1004,pIPS,right,LO,right,ToolLoc,ppi,-0.006650664433445259
sub-spaceloc1004,aIPS,left,LO,left,ToolLoc,ppi,0.009235501166196107
sub-spaceloc1004,aIPS,left,LO,right,ToolLoc,ppi,-0.0002702089074442041
sub-spaceloc1004,aIPS,right,LO,left,ToolLoc,ppi,0.006792642053499419
sub-spaceloc1004,aIPS,right,LO,right,ToolLoc,ppi,-0.0005654516906225096
sub-spaceloc1005,pIPS,left,LO,left,ToolLoc,ppi,-0.014208224896989393
sub-spaceloc1005,pIPS,left,LO,right,ToolLoc,ppi,-0.008910149078160016
sub-spaceloc1005,pIPS,right,LO,left,ToolLoc,ppi,-0.007339991035728922
