visual_parcel,schaefer_index,schaefer_region,overlap_percentage
LO,2,b'7Networks_LH_Vis_3',2.944640753828033
LO,3,b'7Networks_LH_Vis_4',15.429917550058892
LO,5,b'7Networks_LH_Vis_6',2.1201413427561837
LO,8,b'7Networks_LH_Vis_9',5.535924617196701
LO,9,b'7Networks_LH_Vis_10',1.6254416961130742
LO,11,b'7Networks_LH_Vis_12',4.452296819787986
LO,31,b'7Networks_LH_DorsAttn_Post_2',1.8138987043580683
LO,32,b'7Networks_LH_DorsAttn_Post_3',5.111896348645465
LO,103,b'7Networks_RH_Vis_4',2.732626619552415
LO,105,b'7Networks_RH_Vis_6',14.440518256772675
LO,108,b'7Networks_RH_Vis_9',2.9917550058892814
LO,111,b'7Networks_RH_Vis_12',3.180212014134275
LO,135,b'7Networks_RH_DorsAttn_Post_2',7.232037691401649
LO,136,b'7Networks_RH_DorsAttn_Post_3',6.831566548881036
LO,148,b'7Networks_RH_SalVentAttn_TempOccPar_2',1.2249705535924618
pIPS,11,b'7Networks_LH_Vis_12',2.1653275228108404
pIPS,13,b'7Networks_LH_Vis_14',5.188615007490126
pIPS,14,b'7Networks_LH_SomMot_1',7.190521585183168
pIPS,33,b'7Networks_LH_DorsAttn_Post_4',7.544600299605066
pIPS,37,b'7Networks_LH_DorsAttn_Post_8',7.721639656816015
pIPS,38,b'7Networks_LH_DorsAttn_Post_9',0.871578373961596
pIPS,39,b'7Networks_LH_DorsAttn_Post_10',1.348222797221844
pIPS,40,b'7Networks_LH_DorsAttn_FEF_1',0.20427618139724907
pIPS,62,b'7Networks_LH_Cont_Par_3',3.6633528530573334
pIPS,71,b'7Networks_LH_Cont_Cing_1',3.363747787008035
pIPS,80,b'7Networks_LH_Default_Par_3',5.937627672613374
pIPS,82,b'7Networks_LH_Default_PFC_1',1.1575650279177447
pIPS,111,b'7Networks_RH_Vis_12',1.6205910390848426
pIPS,112,b'7Networks_RH_Vis_13',4.044668391665532
pIPS,113,b'7Networks_RH_Vis_14',0.898815198147896
pIPS,114,b'7Networks_RH_Vis_15',5.079667710744927
pIPS,115,b'7Networks_RH_SomMot_1',10.527032548004902
pIPS,140,b'7Networks_RH_DorsAttn_Post_7',3.6497344409641834
pIPS,141,b'7Networks_RH_DorsAttn_Post_8',0.3540787144218984
pIPS,142,b'7Networks_RH_DorsAttn_Post_9',5.474601661446275
pIPS,167,b'7Networks_RH_Cont_Temp_1',4.494075990739479
pIPS,177,b'7Networks_RH_Cont_Cing_1',2.1380906986245405
pIPS,182,b'7Networks_RH_Default_Par_2',2.7781560670025875
aIPS,13,b'7Networks_LH_Vis_14',1.2351433232346771
aIPS,14,b'7Networks_LH_SomMot_1',1.4099277557678864
aIPS,25,b'7Networks_LH_SomMot_12',1.6429736658121652
aIPS,33,b'7Networks_LH_DorsAttn_Post_4',5.488231181542764
aIPS,36,b'7Networks_LH_DorsAttn_Post_7',2.8431601025402005
aIPS,37,b'7Networks_LH_DorsAttn_Post_8',7.049638778839432
aIPS,38,b'7Networks_LH_DorsAttn_Post_9',3.705429969704032
aIPS,39,b'7Networks_LH_DorsAttn_Post_10',4.416219995339081
aIPS,40,b'7Networks_LH_DorsAttn_FEF_1',3.8802144022372405
aIPS,62,b'7Networks_LH_Cont_Par_3',4.404567699836868
aIPS,63,b'7Networks_LH_Cont_Temp_1',0.4777441155907714
aIPS,71,b'7Networks_LH_Cont_Cing_1',2.540200419482638
aIPS,80,b'7Networks_LH_Default_Par_3',0.536005593101841
aIPS,82,b'7Networks_LH_Default_PFC_1',0.8739221626660453
aIPS,99,b'7Networks_LH_Default_PHC_1',0.8273129806571895
aIPS,112,b'7Networks_RH_Vis_13',1.5031461197855978
aIPS,114,b'7Networks_RH_Vis_15',1.9459333488697272
aIPS,115,b'7Networks_RH_SomMot_1',6.035889070146819
aIPS,128,b'7Networks_RH_SomMot_14',0.6874854346306222
aIPS,140,b'7Networks_RH_DorsAttn_Post_7',5.033791656956421
aIPS,141,b'7Networks_RH_DorsAttn_Post_8',3.1577720810999765
aIPS,142,b'7Networks_RH_DorsAttn_Post_9',9.68305756233978
aIPS,143,b'7Networks_RH_DorsAttn_Post_10',5.406665113027266
aIPS,144,b'7Networks_RH_DorsAttn_FEF_1',4.847354928920997
aIPS,167,b'7Networks_RH_Cont_Temp_1',4.64926590538336
aIPS,177,b'7Networks_RH_Cont_Cing_1',1.491493824283384
