parcel,network,n_rois,coverage
LO,SalVentAttn,1,1.2249705535924618
LO,DorsAttn,4,20.98939929328622
LO,Vis,10,55.45347467608951
pIPS,Cont,4,13.65926732942939
pIPS,DorsAttn,6,26.610377230014983
pIPS,Default,3,9.873348767533706
pIPS,Vis,8,36.71523900313223
aIPS,Default,4,3.1461197855977625
aIPS,Cont,4,13.08552784898625
aIPS,SomMot,2,2.3304591004427873
aIPS,DorsAttn,11,55.511535772547205
aIPS,Vis,5,12.130039617804709
PFS,Limbic,1,0.6122448979591837
PFS,DorsAttn,2,40.714285714285715
PFS,Default,1,5.510204081632653
PFS,Vis,5,34.8469387755102
