parcel,schaefer_resolution,schaefer_index,schaefer_name,individual_coverage,cumulative_coverage
LO,200,2,7Networks_LH_Vis_3,0.15429917550058891,0.15429917550058891
LO,200,7,7Networks_LH_Vis_8,0.05535924617196702,0.20965842167255594
LO,200,10,7Networks_LH_Vis_11,0.04452296819787986,0.2541813898704358
LO,200,31,7Networks_LH_DorsAttn_Post_2,0.05111896348645465,0.3053003533568905
LO,200,104,7Networks_RH_Vis_5,0.14440518256772675,0.44970553592461726
LO,200,110,7Networks_RH_Vis_11,0.03180212014134275,0.48150765606596
LO,200,134,7Networks_RH_DorsAttn_Post_1,0.0723203769140165,0.5538280329799765
LO,200,135,7Networks_RH_DorsAttn_Post_2,0.06831566548881036,0.6221436984687869
pIPS,200,12,7Networks_LH_Vis_13,0.051886150074901265,0.051886150074901265
pIPS,200,13,7Networks_LH_Vis_14,0.07190521585183168,0.12379136592673295
pIPS,200,32,7Networks_LH_DorsAttn_Post_3,0.07544600299605066,0.1992373689227836
pIPS,200,36,7Networks_LH_DorsAttn_Post_7,0.07721639656816015,0.27645376549094375
pIPS,200,61,7Networks_LH_Cont_Par_2,0.036633528530573334,0.3130872940215171
pIPS,200,70,7Networks_LH_Cont_pCun_1,0.03363747787008035,0.34672477189159745
pIPS,200,79,7Networks_LH_Default_Par_2,0.059376276726133735,0.40610104861773116
pIPS,200,111,7Networks_RH_Vis_12,0.04044668391665532,0.4465477325343865
pIPS,200,113,7Networks_RH_Vis_14,0.05079667710744927,0.4973444096418358
pIPS,200,114,7Networks_RH_Vis_15,0.10527032548004903,0.6026147351218848
pIPS,200,139,7Networks_RH_DorsAttn_Post_6,0.036497344409641835,0.6391120795315266
pIPS,200,141,7Networks_RH_DorsAttn_Post_8,0.05474601661446275,0.6938580961459894
pIPS,200,166,7Networks_RH_Cont_Par_3,0.044940759907394795,0.7387988560533841
aIPS,200,32,7Networks_LH_DorsAttn_Post_3,0.05488231181542764,0.05488231181542764
aIPS,200,36,7Networks_LH_DorsAttn_Post_7,0.07049638778839432,0.12537869960382195
aIPS,200,37,7Networks_LH_DorsAttn_Post_8,0.03705429969704032,0.16243299930086227
aIPS,200,38,7Networks_LH_DorsAttn_Post_9,0.04416219995339082,0.2065951992542531
aIPS,200,39,7Networks_LH_DorsAttn_Post_10,0.038802144022372406,0.2453973432766255
aIPS,200,61,7Networks_LH_Cont_Par_2,0.04404567699836868,0.2894430202749942
aIPS,200,114,7Networks_RH_Vis_15,0.06035889070146819,0.3498019109764624
aIPS,200,139,7Networks_RH_DorsAttn_Post_6,0.050337916569564205,0.4001398275460266
aIPS,200,140,7Networks_RH_DorsAttn_Post_7,0.031577720810999764,0.43171754835702636
aIPS,200,141,7Networks_RH_DorsAttn_Post_8,0.09683057562339781,0.5285481239804242
aIPS,200,142,7Networks_RH_DorsAttn_Post_9,0.05406665113027266,0.5826147751106968
aIPS,200,143,7Networks_RH_DorsAttn_Post_10,0.04847354928920997,0.6310883243999068
aIPS,200,166,7Networks_RH_Cont_Par_3,0.0464926590538336,0.6775809834537404
