parcel,schaefer_resolution,schaefer_index,schaefer_name,overlap_percentage,unique_coverage,cumulative_unique_coverage
LO,200,2,7Networks_LH_Vis_3,0.15429917550058891,0.15429917550058891,0.15429917550058891
LO,200,104,7Networks_RH_Vis_5,0.14440518256772675,0.14440518256772675,0.29870435806831563
LO,200,134,7Networks_RH_DorsAttn_Post_1,0.0723203769140165,0.0723203769140165,0.3710247349823321
LO,200,135,7Networks_RH_DorsAttn_Post_2,0.06831566548881036,0.06831566548881036,0.4393404004711425
LO,200,7,7Networks_LH_Vis_8,0.05535924617196702,0.05535924617196702,0.4946996466431095
LO,200,31,7Networks_LH_DorsAttn_Post_2,0.05111896348645465,0.05111896348645465,0.5458186101295641
LO,200,10,7Networks_LH_Vis_11,0.04452296819787986,0.04452296819787986,0.5903415783274439
LO,200,110,7Networks_RH_Vis_11,0.03180212014134275,0.03180212014134275,0.6221436984687867
LO,200,107,7Networks_RH_Vis_8,0.029917550058892815,0.029917550058892815,0.6520612485276795
LO,200,1,7Networks_LH_Vis_2,0.02944640753828033,0.02944640753828033,0.6815076560659599
LO,200,102,7Networks_RH_Vis_3,0.027326266195524147,0.027326266195524147,0.708833922261484
LO,200,4,7Networks_LH_Vis_5,0.02120141342756184,0.02120141342756184,0.7300353356890459
LO,200,30,7Networks_LH_DorsAttn_Post_1,0.018138987043580683,0.018138987043580683,0.7481743227326265
LO,200,8,7Networks_LH_Vis_9,0.01625441696113074,0.01625441696113074,0.7644287396937572
LO,200,147,7Networks_RH_SalVentAttn_TempOccPar_1,0.012249705535924617,0.012249705535924617,0.7766784452296819
pIPS,200,114,7Networks_RH_Vis_15,0.10527032548004903,0.10527032548004903,0.10527032548004903
pIPS,200,36,7Networks_LH_DorsAttn_Post_7,0.07721639656816015,0.07721639656816015,0.18248672204820918
pIPS,200,32,7Networks_LH_DorsAttn_Post_3,0.07544600299605066,0.07544600299605066,0.25793272504425985
pIPS,200,13,7Networks_LH_Vis_14,0.07190521585183168,0.07190521585183168,0.32983794089609153
pIPS,200,79,7Networks_LH_Default_Par_2,0.059376276726133735,0.059376276726133735,0.38921421762222524
pIPS,200,141,7Networks_RH_DorsAttn_Post_8,0.05474601661446275,0.05474601661446275,0.443960234236688
pIPS,200,12,7Networks_LH_Vis_13,0.051886150074901265,0.051886150074901265,0.4958463843115893
pIPS,200,113,7Networks_RH_Vis_14,0.05079667710744927,0.05079667710744927,0.5466430614190385
pIPS,200,166,7Networks_RH_Cont_Par_3,0.044940759907394795,0.044940759907394795,0.5915838213264333
pIPS,200,111,7Networks_RH_Vis_12,0.04044668391665532,0.04044668391665532,0.6320305052430886
pIPS,200,61,7Networks_LH_Cont_Par_2,0.036633528530573334,0.036633528530573334,0.6686640337736619
pIPS,200,139,7Networks_RH_DorsAttn_Post_6,0.036497344409641835,0.036497344409641835,0.7051613781833037
pIPS,200,70,7Networks_LH_Cont_pCun_1,0.03363747787008035,0.03363747787008035,0.738798856053384
pIPS,200,181,7Networks_RH_Default_Par_1,0.027781560670025875,0.027781560670025875,0.7665804167234099
pIPS,200,10,7Networks_LH_Vis_11,0.021653275228108403,0.021653275228108403,0.7882336919515184
pIPS,200,176,7Networks_RH_Cont_pCun_1,0.021380906986245403,0.021380906986245403,0.8096145989377638
pIPS,200,110,7Networks_RH_Vis_11,0.016205910390848427,0.016205910390848427,0.8258205093286122
pIPS,200,38,7Networks_LH_DorsAttn_Post_9,0.013482227972218439,0.013482227972218439,0.8393027373008306
pIPS,200,81,7Networks_LH_Default_Par_4,0.011575650279177448,0.011575650279177448,0.850878387580008
pIPS,200,112,7Networks_RH_Vis_13,0.00898815198147896,0.00898815198147896,0.859866539561487
pIPS,200,37,7Networks_LH_DorsAttn_Post_8,0.00871578373961596,0.00871578373961596,0.868582323301103
aIPS,200,141,7Networks_RH_DorsAttn_Post_8,0.09683057562339781,0.09683057562339781,0.09683057562339781
