seed,target,condition,W,p,d,mean,sem,p_fdr
pIPS_left,LO_left,Tools,154.0,0.004123038903344423,0.5569776320872637,0.019355338242017364,0.005873933000019517,0.02198954081783692
pIPS_left,LO_left,Nontools,253.0,0.21446940102032386,0.19745225517512813,0.006356817547384483,0.005441813153199813,0.2859592013604318
pIPS_left,LO_right,Tools,166.0,0.007762141554849222,0.5257472011819605,0.01837151618710612,0.005906551679757875,0.024838852975517512
pIPS_left,LO_right,Nontools,248.0,0.18664936278946698,0.218487013481339,0.00701674703294058,0.0054284540895607305,0.2859592013604318
pIPS_right,LO_left,Tools,152.0,0.003692160767968744,0.5299825925601386,0.01731271087431259,0.005521657300338451,0.02198954081783692
pIPS_right,LO_left,Nontools,233.0,0.11888994762557559,0.25584018510827256,0.009661864708784365,0.006383489805391301,0.21135990688991216
pIPS_right,LO_right,Tools,212.0,0.05770623646094464,0.376219072200334,0.014870076444693335,0.006680952298281548,0.11541247292188928
pIPS_right,LO_right,Nontools,292.0,0.5290791585575789,0.07931513056544022,0.0029475357439719863,0.006281581729042147,0.5643511024614175
aIPS_left,LO_left,Tools,146.0,0.0026280424499418586,0.4830289362917199,0.019778616090049675,0.0069213168343405206,0.02198954081783692
aIPS_left,LO_left,Nontools,259.0,0.2515454127569683,0.2084457661755297,0.007885493495975058,0.006394429113177864,0.30959435416242254
aIPS_left,LO_right,Tools,161.0,0.005999622109811753,0.44908677356666055,0.022048059470720825,0.00829862394841656,0.023998488439247012
aIPS_left,LO_right,Nontools,281.0,0.42303156715934165,0.14582398523955092,0.005357406183412434,0.006209999847119562,0.4834646481821047
aIPS_right,LO_left,Tools,207.0,0.047779093438293785,0.36751457022916917,0.013371252596941885,0.00614983564668383,0.11541247292188928
aIPS_right,LO_left,Nontools,251.0,0.2030111110652797,0.19522263508633433,0.006325429363666943,0.005476786579920547,0.2859592013604318
aIPS_right,LO_right,Tools,212.0,0.05770623646094464,0.3456942146781042,0.014517705103603954,0.007098585811526992,0.11541247292188928
aIPS_right,LO_right,Nontools,321.0,0.858365432737628,-0.03932256971411616,-0.001414186930769314,0.006078982682009658,0.858365432737628
