seed,target,condition,W,p,d,mean,sem,n,p_fdr
pIPS_left,LO_left,Tools,512.0,0.0020615194516722113,0.5569776320872637,0.019355338242017364,0.005873933000019517,36.0,0.01099477040891846
pIPS_left,LO_left,Nontools,413.0,0.10723470051016193,0.19745225517512813,0.006356817547384483,0.005441813153199813,36.0,0.1429796006802159
pIPS_left,LO_right,Tools,500.0,0.003881070777424611,0.5257472011819605,0.01837151618710612,0.005906551679757875,36.0,0.012419426487758756
pIPS_left,LO_right,Nontools,418.0,0.09332468139473349,0.218487013481339,0.00701674703294058,0.0054284540895607305,36.0,0.1429796006802159
pIPS_right,LO_left,Tools,514.0,0.001846080383984372,0.5299825925601386,0.01731271087431259,0.005521657300338451,36.0,0.01099477040891846
pIPS_right,LO_left,Nontools,433.0,0.059444973812787794,0.25584018510827256,0.009661864708784365,0.006383489805391301,36.0,0.10567995344495608
pIPS_right,LO_right,Tools,454.0,0.02885311823047232,0.376219072200334,0.014870076444693335,0.006680952298281548,36.0,0.05770623646094464
pIPS_right,LO_right,Nontools,374.0,0.26453957927878946,0.07931513056544022,0.0029475357439719863,0.006281581729042147,36.0,0.28217555123070875
aIPS_left,LO_left,Tools,520.0,0.0013140212249709293,0.4830289362917199,0.019778616090049675,0.0069213168343405206,36.0,0.01099477040891846
aIPS_left,LO_left,Nontools,407.0,0.12577270637848414,0.2084457661755297,0.007885493495975058,0.006394429113177864,36.0,0.15479717708121127
aIPS_left,LO_right,Tools,505.0,0.0029998110549058765,0.44908677356666055,0.022048059470720825,0.00829862394841656,36.0,0.011999244219623506
aIPS_left,LO_right,Nontools,385.0,0.21151578357967082,0.14582398523955092,0.005357406183412434,0.006209999847119562,36.0,0.24173232409105236
aIPS_right,LO_left,Tools,459.0,0.023889546719146892,0.36751457022916917,0.013371252596941885,0.00614983564668383,36.0,0.05770623646094464
aIPS_right,LO_left,Nontools,415.0,0.10150555553263985,0.19522263508633433,0.006325429363666943,0.005476786579920547,36.0,0.1429796006802159
aIPS_right,LO_right,Tools,454.0,0.02885311823047232,0.3456942146781042,0.014517705103603954,0.007098585811526992,36.0,0.05770623646094464
aIPS_right,LO_right,Nontools,321.0,0.5769033398391912,-0.03932256971411616,-0.001414186930769314,0.006078982682009658,36.0,0.5769033398391912
