subject,run_combo,task,condition,roi,hemisphere,x,y,z
sub-spaceloc1001,0,ToolLoc,tools,lpIPS,l,-26.3897404409945,-67.44180776178837,44.886541730724275
sub-spaceloc1001,0,ToolLoc,tools,rpIPS,r,21.630218040198088,-68.87541379034519,44.95868422742933
sub-spaceloc1001,0,ToolLoc,tools,lLO,l,-49.094462705776095,-50.49818108975887,25.229397802613676
sub-spaceloc1001,0,ToolLoc,tools,rLO,r,40.81228391639888,-55.208414033055305,23.64535014797002
sub-spaceloc1001,0,ToolLoc,tools,lPFS,l,-33.44974213466048,-15.56371197104454,8.833549657836556
sub-spaceloc1001,0,ToolLoc,tools,rPFS,r,35.30844306945801,-21.151032730937004,11.487972822971642
sub-spaceloc1001,0,ToolLoc,tools,laIPS,l,-26.3897404409945,-67.44180776178837,44.886541730724275
sub-spaceloc1001,0,ToolLoc,tools,raIPS,r,21.630218040198088,-68.87541379034519,44.95868422742933
sub-spaceloc1001,1,ToolLoc,tools,lpIPS,l,-26.3897404409945,-67.44180776178837,44.886541730724275
sub-spaceloc1001,1,ToolLoc,tools,rpIPS,r,21.630218040198088,-68.87541379034519,44.95868422742933
sub-spaceloc1001,1,ToolLoc,tools,lLO,l,-49.094462705776095,-50.49818108975887,25.229397802613676
sub-spaceloc1001,1,ToolLoc,tools,rLO,r,40.81228391639888,-55.208414033055305,23.64535014797002
sub-spaceloc1001,1,ToolLoc,tools,lPFS,l,-33.44974213466048,-15.56371197104454,8.833549657836556
sub-spaceloc1001,1,ToolLoc,tools,rPFS,r,35.30844306945801,-21.151032730937004,11.487972822971642
sub-spaceloc1001,1,ToolLoc,tools,laIPS,l,-26.3897404409945,-67.44180776178837,44.886541730724275
sub-spaceloc1001,1,ToolLoc,tools,raIPS,r,21.630218040198088,-68.87541379034519,44.95868422742933
