subject,seed_roi,seed_hemi,target_roi,target_hemi,run_combo,value
sub-spaceloc1001,pIPS,left,pIPS,right,1to2,-0.00884121280226063
sub-spaceloc1001,pIPS,left,pIPS,right,2to1,-0.043592402125297566
sub-spaceloc1001,pIPS,left,aIPS,left,1to2,-0.00481403369593737
sub-spaceloc1001,pIPS,left,aIPS,left,2to1,-0.04524537260156572
sub-spaceloc1001,pIPS,left,aIPS,right,1to2,-0.010839342220480825
sub-spaceloc1001,pIPS,left,aIPS,right,2to1,-0.03708350460345918
sub-spaceloc1001,pIPS,left,LO,left,1to2,-0.01982942332997824
sub-spaceloc1001,pIPS,left,LO,left,2to1,-0.050448125473230264
sub-spaceloc1001,pIPS,left,LO,right,1to2,-0.018153698012008054
sub-spaceloc1001,pIPS,left,LO,right,2to1,-0.035483553936235084
sub-spaceloc1001,pIPS,right,pIPS,left,1to2,-0.00884220856437915
sub-spaceloc1001,pIPS,right,pIPS,left,2to1,-0.043589949074759306
sub-spaceloc1001,pIPS,right,aIPS,left,1to2,-0.042473842481962384
sub-spaceloc1001,pIPS,right,aIPS,left,2to1,-0.0615178268585777
sub-spaceloc1001,pIPS,right,aIPS,right,1to2,-0.04628469515166204
sub-spaceloc1001,pIPS,right,aIPS,right,2to1,-0.06730656554065831
sub-spaceloc1001,pIPS,right,LO,left,1to2,-0.04524882559163139
sub-spaceloc1001,pIPS,right,LO,left,2to1,-0.05717647094471576
sub-spaceloc1001,pIPS,right,LO,right,1to2,-0.06340177005071167
sub-spaceloc1001,pIPS,right,LO,right,2to1,-0.0450759671399254
sub-spaceloc1001,aIPS,left,pIPS,left,1to2,-0.004586100514903149
sub-spaceloc1001,aIPS,left,pIPS,left,2to1,-0.04525450363930868
sub-spaceloc1001,aIPS,left,pIPS,right,1to2,-0.04303373800121162
sub-spaceloc1001,aIPS,left,pIPS,right,2to1,-0.06151262720845559
sub-spaceloc1001,aIPS,left,aIPS,right,1to2,-0.057056611821140586
sub-spaceloc1001,aIPS,left,aIPS,right,2to1,-0.047536771686233756
sub-spaceloc1001,aIPS,left,LO,left,1to2,-0.06773490796064553
sub-spaceloc1001,aIPS,left,LO,left,2to1,-0.053725158122969595
sub-spaceloc1001,aIPS,left,LO,right,1to2,-0.0720767523764829
sub-spaceloc1001,aIPS,left,LO,right,2to1,-0.04013639015600199
sub-spaceloc1001,aIPS,right,pIPS,left,1to2,-0.010841540556708634
sub-spaceloc1001,aIPS,right,pIPS,left,2to1,-0.03705386033279382
sub-spaceloc1001,aIPS,right,pIPS,right,1to2,-0.046272296487622745
sub-spaceloc1001,aIPS,right,pIPS,right,2to1,-0.06721295114693497
sub-spaceloc1001,aIPS,right,aIPS,left,1to2,-0.05597131249399122
sub-spaceloc1001,aIPS,right,aIPS,left,2to1,-0.047475506399868965
sub-spaceloc1001,aIPS,right,LO,left,1to2,-0.02424303919026347
sub-spaceloc1001,aIPS,right,LO,left,2to1,-0.060520058517415466
sub-spaceloc1001,aIPS,right,LO,right,1to2,-0.04754926073994445
sub-spaceloc1001,aIPS,right,LO,right,2to1,-0.04977742605781848
