subject,seed_roi,seed_hemi,target_roi,target_hemi,run_combo,value
sub-spaceloc1001,pIPS,left,pIPS,right,1to2,-6.033092142150504e-05
sub-spaceloc1001,pIPS,left,pIPS,right,2to1,-0.040053712317547424
sub-spaceloc1001,pIPS,left,aIPS,left,1to2,0.009499771674127204
sub-spaceloc1001,pIPS,left,aIPS,left,2to1,-0.018899610924242766
sub-spaceloc1001,pIPS,left,aIPS,right,1to2,0.0003413944252918245
sub-spaceloc1001,pIPS,left,aIPS,right,2to1,-0.041215775763071526
sub-spaceloc1001,pIPS,left,LO,left,1to2,-0.008601007374908529
sub-spaceloc1001,pIPS,left,LO,left,2to1,0.07666508991067966
sub-spaceloc1001,pIPS,left,LO,right,1to2,-0.008596611332909395
sub-spaceloc1001,pIPS,left,LO,right,2to1,0.07316783034299804
sub-spaceloc1001,pIPS,right,pIPS,left,1to2,-6.254728895837498e-05
sub-spaceloc1001,pIPS,right,pIPS,left,2to1,-0.03970272248579275
sub-spaceloc1001,pIPS,right,aIPS,left,1to2,-0.06293802878078508
sub-spaceloc1001,pIPS,right,aIPS,left,2to1,-0.07660366774547356
sub-spaceloc1001,pIPS,right,aIPS,right,1to2,-0.048765041270624865
sub-spaceloc1001,pIPS,right,aIPS,right,2to1,-0.07066793534213897
sub-spaceloc1001,pIPS,right,LO,left,1to2,-0.01004319339484156
sub-spaceloc1001,pIPS,right,LO,left,2to1,-0.0493905103991742
sub-spaceloc1001,pIPS,right,LO,right,1to2,-0.011064121369461508
sub-spaceloc1001,pIPS,right,LO,right,2to1,-0.05323138599441172
sub-spaceloc1001,aIPS,left,pIPS,left,1to2,0.010624474262790508
sub-spaceloc1001,aIPS,left,pIPS,left,2to1,-0.019644803622698433
sub-spaceloc1001,aIPS,left,pIPS,right,1to2,-0.06472336765316981
sub-spaceloc1001,aIPS,left,pIPS,right,2to1,-0.0776560345700294
sub-spaceloc1001,aIPS,left,aIPS,right,1to2,-0.12443861134189972
sub-spaceloc1001,aIPS,left,aIPS,right,2to1,-0.07315586393322954
sub-spaceloc1001,aIPS,left,LO,left,1to2,-0.1224866664175833
sub-spaceloc1001,aIPS,left,LO,left,2to1,-0.0079835597613888
sub-spaceloc1001,aIPS,left,LO,right,1to2,-0.1304268654466392
sub-spaceloc1001,aIPS,left,LO,right,2to1,-0.004297455603753834
sub-spaceloc1001,aIPS,right,pIPS,left,1to2,0.00033895004161068427
sub-spaceloc1001,aIPS,right,pIPS,left,2to1,-0.04095842815027354
sub-spaceloc1001,aIPS,right,pIPS,right,1to2,-0.0488231109533649
sub-spaceloc1001,aIPS,right,pIPS,right,2to1,-0.07066458765497774
sub-spaceloc1001,aIPS,right,aIPS,left,1to2,-0.12064303164205123
sub-spaceloc1001,aIPS,right,aIPS,left,2to1,-0.0721597374570374
sub-spaceloc1001,aIPS,right,LO,left,1to2,-0.05620101625016226
sub-spaceloc1001,aIPS,right,LO,left,2to1,-0.05269120748662535
sub-spaceloc1001,aIPS,right,LO,right,1to2,-0.06525917363159713
sub-spaceloc1001,aIPS,right,LO,right,2to1,-0.05516295668933158
sub-spaceloc1001,LO,left,pIPS,left,1to2,-0.008617371458816872
sub-spaceloc1001,LO,left,pIPS,left,2to1,0.07624157481431698
sub-spaceloc1001,LO,left,pIPS,right,1to2,-0.010053759021322791
sub-spaceloc1001,LO,left,pIPS,right,2to1,-0.04940249246467469
sub-spaceloc1001,LO,left,aIPS,left,1to2,-0.11858791060349812
sub-spaceloc1001,LO,left,aIPS,left,2to1,-0.00779301198794535
sub-spaceloc1001,LO,left,aIPS,right,1to2,-0.05620332089174566
sub-spaceloc1001,LO,left,aIPS,right,2to1,-0.05269659851960479
sub-spaceloc1001,LO,left,LO,right,1to2,0.07967064413037346
sub-spaceloc1001,LO,left,LO,right,2to1,0.11495800506317126
sub-spaceloc1001,LO,right,pIPS,left,1to2,-0.008617429999229221
sub-spaceloc1001,LO,right,pIPS,left,2to1,0.07274187565973776
sub-spaceloc1001,LO,right,pIPS,right,1to2,-0.011080146265638966
sub-spaceloc1001,LO,right,pIPS,right,2to1,-0.0532379957846444
sub-spaceloc1001,LO,right,aIPS,left,1to2,-0.12623752677584302
sub-spaceloc1001,LO,right,aIPS,left,2to1,-0.004071883225365198
sub-spaceloc1001,LO,right,aIPS,right,1to2,-0.06528448905349578
sub-spaceloc1001,LO,right,aIPS,right,2to1,-0.05516333221771079
sub-spaceloc1001,LO,right,LO,left,1to2,0.07973176204730766
sub-spaceloc1001,LO,right,LO,left,2to1,0.11496926013167126
sub-spaceloc1002,pIPS,left,pIPS,right,1to2,0.035550084195123025
sub-spaceloc1002,pIPS,left,pIPS,right,2to1,-0.022228807038889093
sub-spaceloc1002,pIPS,left,aIPS,left,1to2,0.03602638686786501
sub-spaceloc1002,pIPS,left,aIPS,left,2to1,-0.004591222607784407
sub-spaceloc1002,pIPS,left,aIPS,right,1to2,0.04435715663418589
sub-spaceloc1002,pIPS,left,aIPS,right,2to1,-0.005834276572955951
sub-spaceloc1002,pIPS,left,LO,left,1to2,-0.0003371236737925166
sub-spaceloc1002,pIPS,left,LO,left,2to1,0.008745241783374338
sub-spaceloc1002,pIPS,left,LO,right,1to2,-0.001742405715663689
sub-spaceloc1002,pIPS,left,LO,right,2to1,0.01414566592815072
sub-spaceloc1002,pIPS,right,pIPS,left,1to2,0.03554834269935638
sub-spaceloc1002,pIPS,right,pIPS,left,2to1,-0.02222993264345566
sub-spaceloc1002,pIPS,right,aIPS,left,1to2,0.02067142149590945
sub-spaceloc1002,pIPS,right,aIPS,left,2to1,-0.018181981515241485
sub-spaceloc1002,pIPS,right,aIPS,right,1to2,0.01824974188780378
sub-spaceloc1002,pIPS,right,aIPS,right,2to1,-0.01366258703500693
sub-spaceloc1002,pIPS,right,LO,left,1to2,0.025720790588701015
sub-spaceloc1002,pIPS,right,LO,left,2to1,-0.020854567392173045
sub-spaceloc1002,pIPS,right,LO,right,1to2,0.026800791939719543
sub-spaceloc1002,pIPS,right,LO,right,2to1,-0.02575872525146698
sub-spaceloc1002,aIPS,left,pIPS,left,1to2,0.03601811123606893
sub-spaceloc1002,aIPS,left,pIPS,left,2to1,-0.004591550979757012
sub-spaceloc1002,aIPS,left,pIPS,right,1to2,0.02066470792557571
sub-spaceloc1002,aIPS,left,pIPS,right,2to1,-0.018184535215196578
sub-spaceloc1002,aIPS,left,aIPS,right,1to2,0.03673780304363243
sub-spaceloc1002,aIPS,left,aIPS,right,2to1,0.02594747922017718
sub-spaceloc1002,aIPS,left,LO,left,1to2,0.016037931218655207
sub-spaceloc1002,aIPS,left,LO,left,2to1,0.07187134838134558
sub-spaceloc1002,aIPS,left,LO,right,1to2,0.021544721928542322
sub-spaceloc1002,aIPS,left,LO,right,2to1,0.0963055844037268
sub-spaceloc1002,aIPS,right,pIPS,left,1to2,0.0443626051924324
sub-spaceloc1002,aIPS,right,pIPS,left,2to1,-0.005834615070949858
sub-spaceloc1002,aIPS,right,pIPS,right,1to2,0.018245619388334886
sub-spaceloc1002,aIPS,right,pIPS,right,2to1,-0.013662647080222938
sub-spaceloc1002,aIPS,right,aIPS,left,1to2,0.03678681257461121
sub-spaceloc1002,aIPS,right,aIPS,left,2to1,0.02596490599758595
sub-spaceloc1002,aIPS,right,LO,left,1to2,0.01221144474539118
sub-spaceloc1002,aIPS,right,LO,left,2to1,0.07567242361097598
sub-spaceloc1002,aIPS,right,LO,right,1to2,0.033207244337107034
sub-spaceloc1002,aIPS,right,LO,right,2to1,0.1033049763853416
sub-spaceloc1002,LO,left,pIPS,left,1to2,-0.000336888489098805
sub-spaceloc1002,LO,left,pIPS,left,2to1,0.008785269084630927
sub-spaceloc1002,LO,left,pIPS,right,1to2,0.02572714118575216
sub-spaceloc1002,LO,left,pIPS,right,2to1,-0.02086238492124394
sub-spaceloc1002,LO,left,aIPS,left,1to2,0.016047806107659303
sub-spaceloc1002,LO,left,aIPS,left,2to1,0.07189545555770373
sub-spaceloc1002,LO,left,aIPS,right,1to2,0.01221755978781129
sub-spaceloc1002,LO,left,aIPS,right,2to1,0.07571829071797097
sub-spaceloc1002,LO,left,LO,right,1to2,0.01418363800210831
sub-spaceloc1002,LO,left,LO,right,2to1,0.06023832995087582
sub-spaceloc1002,LO,right,pIPS,left,1to2,-0.0017412102354782794
sub-spaceloc1002,LO,right,pIPS,left,2to1,0.01426936859948866
sub-spaceloc1002,LO,right,pIPS,right,1to2,0.026816369729549424
sub-spaceloc1002,LO,right,pIPS,right,2to1,-0.02577486030582283
sub-spaceloc1002,LO,right,aIPS,left,1to2,0.021578150754493965
sub-spaceloc1002,LO,right,aIPS,left,2to1,0.09644940849167702
sub-spaceloc1002,LO,right,aIPS,right,1to2,0.033252811758955295
sub-spaceloc1002,LO,right,aIPS,right,2to1,0.10346894895647178
sub-spaceloc1002,LO,right,LO,left,1to2,0.014188467554949513
sub-spaceloc1002,LO,right,LO,left,2to1,0.06029378550316188
sub-spaceloc1003,pIPS,left,pIPS,right,1to2,-0.0312550770097746
sub-spaceloc1003,pIPS,left,pIPS,right,2to1,0.06245978210624507
sub-spaceloc1003,pIPS,left,aIPS,left,1to2,-0.0070570339774371806
sub-spaceloc1003,pIPS,left,aIPS,left,2to1,0.05306948627147773
sub-spaceloc1003,pIPS,left,aIPS,right,1to2,-0.022830260063465644
sub-spaceloc1003,pIPS,left,aIPS,right,2to1,0.05185971081067007
sub-spaceloc1003,pIPS,left,LO,left,1to2,-0.03888904189833906
sub-spaceloc1003,pIPS,left,LO,left,2to1,0.07783310982802864
sub-spaceloc1003,pIPS,left,LO,right,1to2,-0.04604046706511767
sub-spaceloc1003,pIPS,left,LO,right,2to1,0.07610853052156204
sub-spaceloc1003,pIPS,right,pIPS,left,1to2,-0.03126464524982082
sub-spaceloc1003,pIPS,right,pIPS,left,2to1,0.0625313915934579
sub-spaceloc1003,pIPS,right,aIPS,left,1to2,-0.011800184409362055
sub-spaceloc1003,pIPS,right,aIPS,left,2to1,0.009853034407338918
sub-spaceloc1003,pIPS,right,aIPS,right,1to2,-0.01593437641096455
sub-spaceloc1003,pIPS,right,aIPS,right,2to1,0.05474857727579954
sub-spaceloc1003,pIPS,right,LO,left,1to2,-0.04512173106858427
sub-spaceloc1003,pIPS,right,LO,left,2to1,0.06558535579358074
sub-spaceloc1003,pIPS,right,LO,right,1to2,-0.056535401701322686
sub-spaceloc1003,pIPS,right,LO,right,2to1,0.09126262647232124
sub-spaceloc1003,aIPS,left,pIPS,left,1to2,-0.006276099063769087
sub-spaceloc1003,aIPS,left,pIPS,left,2to1,0.053070111999742826
sub-spaceloc1003,aIPS,left,pIPS,right,1to2,-0.011506439485318267
sub-spaceloc1003,aIPS,left,pIPS,right,2to1,0.009862373872115344
sub-spaceloc1003,aIPS,left,aIPS,right,1to2,-0.006321625643382675
sub-spaceloc1003,aIPS,left,aIPS,right,2to1,0.03301964002806401
sub-spaceloc1003,aIPS,left,LO,left,1to2,-0.011347702841161513
sub-spaceloc1003,aIPS,left,LO,left,2to1,0.06285733895872943
sub-spaceloc1003,aIPS,left,LO,right,1to2,-0.004294083846680838
sub-spaceloc1003,aIPS,left,LO,right,2to1,0.10422643698575006
sub-spaceloc1003,aIPS,right,pIPS,left,1to2,-0.022828421073774568
sub-spaceloc1003,aIPS,right,pIPS,left,2to1,0.05186635082232087
sub-spaceloc1003,aIPS,right,pIPS,right,1to2,-0.01593275416083881
sub-spaceloc1003,aIPS,right,pIPS,right,2to1,0.0547162999651166
sub-spaceloc1003,aIPS,right,aIPS,left,1to2,-0.006915001178843656
sub-spaceloc1003,aIPS,right,aIPS,left,2to1,0.033026598669790755
sub-spaceloc1003,aIPS,right,LO,left,1to2,-0.027635136079456186
sub-spaceloc1003,aIPS,right,LO,left,2to1,0.05350516704251516
sub-spaceloc1003,aIPS,right,LO,right,1to2,-0.021643450359018546
sub-spaceloc1003,aIPS,right,LO,right,2to1,0.05742904655841503
sub-spaceloc1003,LO,left,pIPS,left,1to2,-0.03890926577700876
sub-spaceloc1003,LO,left,pIPS,left,2to1,0.07817496040243878
sub-spaceloc1003,LO,left,pIPS,right,1to2,-0.04514362295787021
sub-spaceloc1003,LO,left,pIPS,right,2to1,0.06556878834115472
sub-spaceloc1003,LO,left,aIPS,left,1to2,-0.011611764978102936
sub-spaceloc1003,LO,left,aIPS,left,2to1,0.06285103114049344
sub-spaceloc1003,LO,left,aIPS,right,1to2,-0.02763398662009742
sub-spaceloc1003,LO,left,aIPS,right,2to1,0.053613602308713953
sub-spaceloc1003,LO,left,LO,right,1to2,-0.0031040149933524797
sub-spaceloc1003,LO,left,LO,right,2to1,0.15537689607272068
sub-spaceloc1003,LO,right,pIPS,left,1to2,-0.04606314321108959
sub-spaceloc1003,LO,right,pIPS,left,2to1,0.07647973960490144
sub-spaceloc1003,LO,right,pIPS,right,1to2,-0.05652438213985227
sub-spaceloc1003,LO,right,pIPS,right,2to1,0.09130940858707715
sub-spaceloc1003,LO,right,aIPS,left,1to2,-0.0052962889600408625
sub-spaceloc1003,LO,right,aIPS,left,2to1,0.10450013206534053
sub-spaceloc1003,LO,right,aIPS,right,1to2,-0.02164218808060306
sub-spaceloc1003,LO,right,aIPS,right,2to1,0.05753177092075542
sub-spaceloc1003,LO,right,LO,left,1to2,-0.0031155964991828704
sub-spaceloc1003,LO,right,LO,left,2to1,0.15540750478198584
sub-spaceloc1004,pIPS,left,pIPS,right,1to2,0.02495926954669917
sub-spaceloc1004,pIPS,left,pIPS,right,2to1,0.0018510239881483917
sub-spaceloc1004,pIPS,left,aIPS,left,1to2,0.05708697232333897
sub-spaceloc1004,pIPS,left,aIPS,left,2to1,0.0028899475500197883
sub-spaceloc1004,pIPS,left,aIPS,right,1to2,0.01330814257590728
sub-spaceloc1004,pIPS,left,aIPS,right,2to1,-0.006848607525204085
sub-spaceloc1004,pIPS,left,LO,left,1to2,0.05967477420787907
sub-spaceloc1004,pIPS,left,LO,left,2to1,0.022597753224802813
sub-spaceloc1004,pIPS,left,LO,right,1to2,0.03238311253303357
sub-spaceloc1004,pIPS,left,LO,right,2to1,-0.009809578022746544
sub-spaceloc1004,pIPS,right,pIPS,left,1to2,0.024947931504667124
sub-spaceloc1004,pIPS,right,pIPS,left,2to1,0.001850724537364229
sub-spaceloc1004,pIPS,right,aIPS,left,1to2,0.003890272149077597
sub-spaceloc1004,pIPS,right,aIPS,left,2to1,-0.028588233285680276
sub-spaceloc1004,pIPS,right,aIPS,right,1to2,0.006649681066309662
sub-spaceloc1004,pIPS,right,aIPS,right,2to1,-0.03836120727194596
sub-spaceloc1004,pIPS,right,LO,left,1to2,0.030673761233626702
sub-spaceloc1004,pIPS,right,LO,left,2to1,0.0327873615463529
sub-spaceloc1004,pIPS,right,LO,right,1to2,0.013251001463028525
sub-spaceloc1004,pIPS,right,LO,right,2to1,-0.018358110592393607
sub-spaceloc1004,aIPS,left,pIPS,left,1to2,0.057072653670691004
sub-spaceloc1004,aIPS,left,pIPS,left,2to1,0.0028860863226558846
sub-spaceloc1004,aIPS,left,pIPS,right,1to2,0.003888867595025373
sub-spaceloc1004,aIPS,left,pIPS,right,2to1,-0.028592620019272395
sub-spaceloc1004,aIPS,left,aIPS,right,1to2,-0.0005471806613609492
sub-spaceloc1004,aIPS,left,aIPS,right,2to1,-0.07277106823672506
sub-spaceloc1004,aIPS,left,LO,left,1to2,0.043450205951983796
sub-spaceloc1004,aIPS,left,LO,left,2to1,0.03347799710809518
sub-spaceloc1004,aIPS,left,LO,right,1to2,0.007308228551399417
sub-spaceloc1004,aIPS,left,LO,right,2to1,-0.04636167249979489
sub-spaceloc1004,aIPS,right,pIPS,left,1to2,0.013288426494712338
sub-spaceloc1004,aIPS,right,pIPS,left,2to1,-0.0068520405516717285
sub-spaceloc1004,aIPS,right,pIPS,right,1to2,0.006649277060365391
sub-spaceloc1004,aIPS,right,pIPS,right,2to1,-0.03834199882065435
sub-spaceloc1004,aIPS,right,aIPS,left,1to2,-0.0005061635951659688
sub-spaceloc1004,aIPS,right,aIPS,left,2to1,-0.07256643608289208
sub-spaceloc1004,aIPS,right,LO,left,1to2,0.01940117328673662
sub-spaceloc1004,aIPS,right,LO,left,2to1,0.0007766770749127374
sub-spaceloc1004,aIPS,right,LO,right,1to2,0.002757911126837913
