index,task,roi,hemisphere,x,y,z,subject
0,loc,V1,left,-11.872199509281756,-74.04201436301159,4.0074808350649676,sub-025
0,loc,V1,right,14.586417751099646,-72.10688728290265,1.807923270437172,sub-025
1,loc,V1,left,-12.208862908691643,-73.95522820371795,3.9389088175696116,sub-025
1,loc,V1,right,14.454190874583432,-72.50634140843391,1.6282265082195977,sub-025
2,loc,V1,left,-11.598350711857108,-73.68299819958419,3.26501028071209,sub-025
2,loc,V1,right,14.595228084995782,-72.15216849393569,1.895653042706087,sub-025
0,loc,V1,left,-2.715904648901386,-68.94441565650513,-2.575045724467941,sub-038
0,loc,V1,right,16.326174062364572,-65.81619970663644,0.9837808870969127,sub-038
1,loc,V1,left,-3.022903213658452,-68.64963398317312,-2.9994147354298804,sub-038
1,loc,V1,right,16.913625305315875,-65.7285702208754,0.5197692683497053,sub-038
2,loc,V1,left,-5.312159022958625,-69.64865195983222,-1.6385395363606108,sub-038
2,loc,V1,right,16.291098769896337,-66.32270386919996,1.16071960683351,sub-038
0,loc,V1,left,-11.307413509057156,-68.44170594911479,-6.5487492666375005,sub-057
0,loc,V1,right,13.742077692002454,-64.27376387908191,5.193179242927783,sub-057
1,loc,V1,left,-11.099416762640331,-68.28380591969743,-6.847146324581033,sub-057
1,loc,V1,right,14.056826129433944,-64.92093419481448,4.597380515069773,sub-057
2,loc,V1,left,-11.496879945059163,-68.76172711523718,-6.878771643984393,sub-057
2,loc,V1,right,13.982602171613053,-63.820705975630325,-1.1059826458383952,sub-057
0,loc,V1,left,-10.232702863759165,-74.4486873990816,-19.99368470058316,sub-059
0,loc,V1,right,21.815997021826007,-72.48584997909776,-14.210104847365017,sub-059
1,loc,V1,left,-7.509252918800399,-74.96638469373353,-16.883063089051376,sub-059
1,loc,V1,right,21.05766082278562,-72.3294945558217,-14.57831282278866,sub-059
2,loc,V1,left,-9.452074014317589,-74.69978918262416,-18.377462437541695,sub-059
2,loc,V1,right,21.038287633135923,-73.30563239900874,-12.887471685723966,sub-059
0,loc,V1,left,-12.721281186120343,-75.1501194881966,-2.984289115180104,sub-064
0,loc,V1,right,16.070131494689733,-65.38185302440122,-2.9121142474758983,sub-064
1,loc,V1,left,-12.320421698083052,-74.85544296115106,-2.5738525286365928,sub-064
1,loc,V1,right,15.611867969502484,-65.09596296080734,-3.9403895444713726,sub-064
2,loc,V1,left,-12.357777203911986,-74.79745288302881,-2.7808140578059124,sub-064
2,loc,V1,right,15.542176576752823,-64.11050991994406,-4.025921283872634,sub-064
0,loc,V1,left,-12.571905487130081,-77.35423630693654,-2.683379865958017,sub-067
0,loc,V1,right,12.374995183969773,-74.28229354111778,-5.656037084026167,sub-067
1,loc,V1,left,-12.959865819821275,-77.35667089913,-2.064181432851143,sub-067
1,loc,V1,right,12.384166987410495,-74.61691316358102,-5.774237867271552,sub-067
2,loc,V1,left,-12.74810836274932,-76.90937149595898,-2.5190834719210216,sub-067
2,loc,V1,right,12.153650981740242,-75.06809884005956,-5.730636279473998,sub-067
0,loc,V1,left,-10.00544464101226,-71.16499606631369,-9.74070644034596,sub-068
0,loc,V1,right,11.604072107928886,-74.40389643583565,-5.656529627228309,sub-068
1,loc,V1,left,-10.581029725037126,-72.00891265852225,-10.518500642210299,sub-068
1,loc,V1,right,11.108616553999624,-77.13182883530979,-4.9120441541434445,sub-068
2,loc,V1,left,-10.314230575696527,-72.09302335754919,-11.593360942885482,sub-068
2,loc,V1,right,11.3674984816778,-77.14269027315933,-5.027716969833335,sub-068
0,loc,V1,left,-8.63392327986692,-72.27036905174265,-6.472980942689475,sub-071
0,loc,V1,right,15.763776689647571,-73.6472001710051,1.1697116646445807,sub-071
1,loc,V1,left,-8.794960555337369,-73.30103183470185,-6.9965109376062316,sub-071
1,loc,V1,right,15.853868264563346,-73.61427861935145,1.5747521150781978,sub-071
2,loc,V1,left,-7.240333525658471,-73.11935995497079,-7.560754489530225,sub-071
2,loc,V1,right,15.737817633437459,-73.2139168621043,1.9967609797731143,sub-071
0,loc,V1,left,-12.502663942528017,-71.16129921649501,5.12994860479327,sub-083
0,loc,V1,right,8.95871553334021,-71.25138017792015,5.919997135582946,sub-083
1,loc,V1,left,-14.211274156452305,-72.81191038743913,3.8382830085173225,sub-083
1,loc,V1,right,10.053561304694952,-72.54213279823541,7.72939133906921,sub-083
2,loc,V1,left,-12.705770664691485,-71.6304955983442,3.78128548839463,sub-083
2,loc,V1,right,9.640502346627699,-72.69386168700736,7.677788277531022,sub-083
0,loc,V1,left,-7.970161965198599,-62.973397928543285,39.89385195832618,sub-084
0,loc,V1,right,12.207053860364482,-60.482486551233805,48.65740852069129,sub-084
1,loc,V1,left,-5.784750414908956,-63.70818083719942,37.87379123148057,sub-084
1,loc,V1,right,12.912502004835233,-63.46621342681097,49.06051224545794,sub-084
2,loc,V1,left,-7.371113775479785,-64.32535050685726,35.70983726073473,sub-084
2,loc,V1,right,13.031212109309635,-57.33605953010389,42.14198885180397,sub-084
0,loc,V1,left,-19.24160245558386,-64.03361552414823,-25.617371216004727,sub-085
0,loc,V1,right,17.080887835575,-56.72925524002525,-25.218450883092373,sub-085
1,loc,V1,left,-17.562667502210644,-62.01306926775526,-27.645817886494854,sub-085
1,loc,V1,right,16.991072484402537,-56.743395219644775,-26.081673143858637,sub-085
2,loc,V1,left,-19.24173461055365,-64.1991784233507,-25.76290708405753,sub-085
2,loc,V1,right,17.698401837401207,-60.29096275713899,-21.77378512322332,sub-085
0,loc,V1,left,-12.958751413038684,-56.41547053775271,5.801486619542928,sub-087
0,loc,V1,right,10.826145962594126,-56.173478696344006,6.417367775318425,sub-087
1,loc,V1,left,-12.465498610662081,-56.34767165615532,6.926047487362638,sub-087
1,loc,V1,right,9.76811074825541,-58.8951039872298,11.303992442726582,sub-087
2,loc,V1,left,-13.36896185614016,-57.02179501698607,6.043723262800427,sub-087
2,loc,V1,right,10.644757601428282,-56.699285705629045,7.485494012869438,sub-087
0,loc,V1,left,-7.878208151456718,-73.54278573228298,13.156825604333676,sub-088
